Summary Orientations,,,,,,,,Core Orientations,,,,,,,,,,,,,,,,,,,,,,,,Block Orientations,,,,,,,,,,,,,,,,,,,,,,,
site,specimen,old_mag_core_strike,old_core_dip,new_mag_core_strike,new_core_dip,strike_correction,dip_correction,specimen,sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike,specimen,sample_name,comment,strat_level,magnetic_block_strike,block_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,block_shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_block_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec_block,block_strike,corrected_bedding_strike
NWFA,NWFA-1A,245,59,341.1,59,96.1,0,NWFA-1A,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1A,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1B,245,59,341.1,59,96.1,0,NWFA-1B,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1B,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1C,245,59,341.1,59,96.1,0,NWFA-1C,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1C,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1D,245,59,341.1,59,96.1,0,NWFA-1D,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1D,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1E,245,59,341.1,59,96.1,0,NWFA-1E,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1E,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1F,245,59,341.1,59,96.1,0,NWFA-1F,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1F,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1G,245,59,341.1,59,96.1,0,NWFA-1G,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1G,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1H,245,59,341.1,59,96.1,0,NWFA-1H,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1H,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-1I,245,59,341.1,59,96.1,0,NWFA-1I,1,sun compass orientation,518,246.1,59,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,95,341.1,nan,NWFA-1I,1,sun compass orientation,518,340,65,0,0,no,262,7,2024,3,18,15,47,1,nan,341.1,[np.float64(358.62128709851135); np.float64(20.654631826737706); np.float64(43316.648572057646)],-1.378712901,1.1,341.1,nan
NWFA,NWFA-2A,270,47.5,273.2,47.5,3.2,0,NWFA-2A,2,sun compass orientation,518,269.2,47.5,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,4,273.2,nan,NWFA-2A,2,sun compass orientation,518,274,44,0,0,no,193,7,2024,3,18,15,59,1,nan,273.2,[np.float64(358.6212857487161); np.float64(20.654634514514573); np.float64(43316.64975128025)],-1.378714251,-0.8,273.2,nan
