[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711730664.616000 3/30/2024, 1:44:24 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, NWF24-C-P8
INFO, WEIGHT, 0.100
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: IRM_3T_300-5-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711730664.615,,0.000000e+000,3.000149e+002,8.674966e-003,0.000000e+000,5.631858e-003,0.000000e+000,3,9.920731e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.181030e-002,0,0,0,
1711730808.450,,0.000000e+000,2.988412e+002,8.681880e-003,0.000000e+000,6.210661e-003,0.000000e+000,3,9.920991e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,2.114868e-001,0,0,0,
1711730876.176,,0.000000e+000,2.977242e+002,8.689744e-003,0.000000e+000,6.334303e-003,0.000000e+000,3,9.920716e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.078979e-001,0,0,0,
1711730925.602,,0.000000e+000,2.965172e+002,8.697703e-003,0.000000e+000,6.627238e-003,0.000000e+000,3,9.921399e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.966125e-001,0,1,0,
1711730958.270,,0.000000e+000,2.955219e+002,8.704709e-003,0.000000e+000,6.735235e-003,0.000000e+000,3,9.921504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.963135e-001,0,1,0,
1711730986.176,,0.000000e+000,2.946017e+002,8.711442e-003,0.000000e+000,6.832991e-003,0.000000e+000,3,9.921767e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.354919e-001,0,1,0,
1711731020.846,,0.000000e+000,2.935803e+002,8.718980e-003,0.000000e+000,6.860911e-003,0.000000e+000,3,9.921582e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.220093e-001,0,1,0,
1711731053.010,,0.000000e+000,2.926333e+002,8.724458e-003,0.000000e+000,6.789129e-003,0.000000e+000,3,9.922248e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.155884e-001,0,1,0,
1711731083.168,,0.000000e+000,2.917487e+002,8.730646e-003,0.000000e+000,6.766821e-003,0.000000e+000,3,9.921684e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.129028e-001,0,1,0,
1711731124.338,,0.000000e+000,2.906538e+002,8.738039e-003,0.000000e+000,6.763349e-003,0.000000e+000,3,9.922215e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.093994e-001,0,1,0,
