[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711706802.765000 3/29/2024, 7:06:42 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, NWF24-C-P8
INFO, WEIGHT, 0.100
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: ZFC_FC.190512-3K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711706802.764,,0.000000e+000,5.002645e+000,2.274918e-002,0.000000e+000,2.500546e-002,0.000000e+000,3,9.916869e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.832962e-003,0,1,0,
1711706889.475,,0.000000e+000,8.649022e+000,1.838689e-002,0.000000e+000,2.575306e-002,0.000000e+000,3,9.918221e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.322430e-001,0,1,0,
1711706957.448,,0.000000e+000,1.165338e+001,1.615498e-002,0.000000e+000,2.618463e-002,0.000000e+000,3,9.918063e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.676394e-001,0,1,0,
1711707023.635,,0.000000e+000,1.472723e+001,1.514876e-002,0.000000e+000,2.637160e-002,0.000000e+000,3,9.917395e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.049599e-001,0,0,0,
1711707090.318,,0.000000e+000,1.806590e+001,1.463924e-002,0.000000e+000,2.643470e-002,0.000000e+000,3,9.917258e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.331894e-001,0,0,0,
1711707140.734,,0.000000e+000,2.061631e+001,1.442116e-002,0.000000e+000,2.647454e-002,0.000000e+000,3,9.917089e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.066105e-001,0,0,0,
1711707200.717,,0.000000e+000,2.350528e+001,1.426315e-002,0.000000e+000,2.634652e-002,0.000000e+000,3,9.917549e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.875198e-001,0,0,0,
1711707262.162,,0.000000e+000,2.672102e+001,1.415945e-002,0.000000e+000,2.621749e-002,0.000000e+000,3,9.917265e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.627205e-001,0,0,0,
1711707327.844,,0.000000e+000,2.997253e+001,1.407746e-002,0.000000e+000,2.628284e-002,0.000000e+000,3,9.917575e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.550510e-001,0,0,0,
1711707384.522,,0.000000e+000,3.272377e+001,1.402184e-002,0.000000e+000,2.613693e-002,0.000000e+000,3,9.917260e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.959991e-001,0,0,0,
1711707447.963,,0.000000e+000,3.593524e+001,1.396445e-002,0.000000e+000,2.600691e-002,0.000000e+000,3,9.917380e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.350029e-001,0,0,0,
1711707505.395,,0.000000e+000,3.874663e+001,1.390811e-002,0.000000e+000,2.592415e-002,0.000000e+000,3,9.917336e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.240623e-001,0,0,0,
1711707571.072,,0.000000e+000,4.196457e+001,1.383923e-002,0.000000e+000,2.586229e-002,0.000000e+000,3,9.917164e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.120514e-001,0,0,0,
1711707628.751,,0.000000e+000,4.488010e+001,1.377127e-002,0.000000e+000,2.583766e-002,0.000000e+000,3,9.917333e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.967888e-001,0,0,0,
1711707685.422,,0.000000e+000,4.775163e+001,1.370339e-002,0.000000e+000,2.576920e-002,0.000000e+000,3,9.918403e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.830101e-001,0,0,0,
1711707744.597,,0.000000e+000,5.072078e+001,1.363216e-002,0.000000e+000,2.569728e-002,0.000000e+000,3,9.917995e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.304802e-001,0,1,0,
1711707810.047,,0.000000e+000,5.397152e+001,1.354950e-002,0.000000e+000,2.572099e-002,0.000000e+000,3,9.917765e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.328186e-001,0,1,0,
1711707866.650,,0.000000e+000,5.679205e+001,1.347578e-002,0.000000e+000,2.546410e-002,0.000000e+000,3,9.917156e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.277603e-001,0,1,0,
1711707927.056,,0.000000e+000,5.980205e+001,1.339724e-002,0.000000e+000,2.550147e-002,0.000000e+000,3,9.918460e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.337807e-001,0,1,0,
1711707987.725,,0.000000e+000,6.278354e+001,1.332919e-002,0.000000e+000,2.534127e-002,0.000000e+000,3,9.917746e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.163589e-001,0,0,0,
1711708053.342,,0.000000e+000,6.601999e+001,1.326782e-002,0.000000e+000,2.524730e-002,0.000000e+000,3,9.917259e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.180756e-001,0,0,0,
1711708110.000,,0.000000e+000,6.898546e+001,1.321650e-002,0.000000e+000,2.500808e-002,0.000000e+000,3,9.917499e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.006935e+000,0,0,0,
1711708166.917,,0.000000e+000,7.187537e+001,1.317017e-002,0.000000e+000,2.485230e-002,0.000000e+000,3,9.917231e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.953873e-001,0,0,0,
1711708225.134,,0.000000e+000,7.473950e+001,1.312185e-002,0.000000e+000,2.460165e-002,0.000000e+000,3,9.917101e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.731857e-001,0,0,0,
1711708292.322,,0.000000e+000,7.807522e+001,1.306411e-002,0.000000e+000,2.430248e-002,0.000000e+000,3,9.917386e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.847290e-001,0,0,0,
1711708345.484,,0.000000e+000,8.084471e+001,1.301651e-002,0.000000e+000,2.402011e-002,0.000000e+000,3,9.917000e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.573837e-001,0,0,0,
1711708406.976,,0.000000e+000,8.387978e+001,1.296110e-002,0.000000e+000,2.370204e-002,0.000000e+000,3,9.917499e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.536743e-001,0,0,0,
1711708469.661,,0.000000e+000,8.701382e+001,1.290120e-002,0.000000e+000,2.335321e-002,0.000000e+000,3,9.918481e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.498978e-001,0,0,0,
1711708532.588,,0.000000e+000,9.016613e+001,1.283896e-002,0.000000e+000,2.317765e-002,0.000000e+000,3,9.918588e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.289642e-001,0,0,0,
1711708589.521,,0.000000e+000,9.300922e+001,1.278133e-002,0.000000e+000,2.281791e-002,0.000000e+000,3,9.918530e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.389267e-001,0,0,0,
1711708649.206,,0.000000e+000,9.605706e+001,1.271875e-002,0.000000e+000,2.245759e-002,0.000000e+000,3,9.918392e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.686737e-001,0,0,0,
1711708707.391,,0.000000e+000,9.897735e+001,1.265513e-002,0.000000e+000,2.237828e-002,0.000000e+000,3,9.918898e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.273102e-001,0,1,0,
1711708771.733,,0.000000e+000,1.021245e+002,1.258362e-002,0.000000e+000,2.199300e-002,0.000000e+000,3,9.917665e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.273010e-001,0,1,0,
