[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711628997.702000 3/28/2024, 9:29:57 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PO-conc. #2
INFO, WEIGHT, 0.180
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: IRM_acq_sub1.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711628997.701,,0.000000e+000,3.000208e+002,-5.964155e-003,0.000000e+000,8.159685e-002,0.000000e+000,3,9.879221e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711629010.590,,0.000000e+000,3.000149e+002,-5.959336e-003,0.000000e+000,8.147270e-002,0.000000e+000,3,9.878335e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.181030e-002,0,1,0,
1711629023.735,,0.000000e+000,3.000149e+002,-5.955248e-003,0.000000e+000,8.161783e-002,0.000000e+000,3,9.879263e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.181030e-002,0,1,0,
1711629039.134,,0.000000e+000,3.000149e+002,-5.950811e-003,0.000000e+000,8.160149e-002,0.000000e+000,3,9.879359e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.181030e-002,0,1,0,
1711629053.530,,0.000000e+000,3.000208e+002,-5.948388e-003,0.000000e+000,8.157721e-002,0.000000e+000,3,9.878597e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711629392.520,,0.000000e+000,3.000149e+002,-5.881576e-003,0.000000e+000,8.221016e-002,0.000000e+000,3,9.879168e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.181030e-002,0,1,0,
1711629406.663,,0.000000e+000,3.000031e+002,-5.880569e-003,0.000000e+000,8.206816e-002,0.000000e+000,3,9.877501e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,1,0,
1711629421.723,,0.000000e+000,3.000031e+002,-5.877405e-003,0.000000e+000,8.221472e-002,0.000000e+000,3,9.878681e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,1,0,
1711629434.888,,0.000000e+000,2.999971e+002,-5.876191e-003,0.000000e+000,8.210567e-002,0.000000e+000,3,9.878281e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711629447.318,,0.000000e+000,3.000148e+002,-5.874868e-003,0.000000e+000,8.239388e-002,0.000000e+000,3,9.878808e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,3.549194e-002,0,1,0,
