[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711657277.631000 3/29/2024, 5:21:17 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PO-conc. #2
INFO, WEIGHT, 0.180
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: IRM_3T_300-5-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711657277.631,,0.000000e+000,2.999971e+002,6.201752e-003,0.000000e+000,8.596215e-002,0.000000e+000,3,9.874399e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,0.000000e+000,0,0,0,
1711657436.947,,0.000000e+000,2.988471e+002,6.249142e-003,0.000000e+000,8.573420e-002,0.000000e+000,3,9.874964e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,2.467041e-001,0,1,0,
1711657496.385,,0.000000e+000,2.977416e+002,6.309492e-003,0.000000e+000,8.572935e-002,0.000000e+000,3,9.874961e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,3.262024e-001,0,1,0,
1711657542.058,,0.000000e+000,2.965981e+002,6.376943e-003,0.000000e+000,8.572908e-002,0.000000e+000,3,9.874508e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.430908e-001,0,1,0,
1711657575.224,,0.000000e+000,2.954988e+002,6.434508e-003,0.000000e+000,8.567209e-002,0.000000e+000,3,9.874594e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,3.898010e-001,0,1,0,
1711657610.636,,0.000000e+000,2.945334e+002,6.499729e-003,0.000000e+000,8.558565e-002,0.000000e+000,3,9.875576e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.579224e-001,0,1,0,
1711657638.311,,0.000000e+000,2.937159e+002,6.552327e-003,0.000000e+000,8.531728e-002,0.000000e+000,3,9.875432e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.642029e-001,0,1,0,
1711657673.726,,0.000000e+000,2.926783e+002,6.617811e-003,0.000000e+000,8.522081e-002,0.000000e+000,3,9.875121e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.606934e-001,0,1,0,
1711657711.148,,0.000000e+000,2.917209e+002,6.685647e-003,0.000000e+000,8.495582e-002,0.000000e+000,3,9.875576e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.685974e-001,0,1,0,
1711657749.597,,0.000000e+000,2.907092e+002,6.752964e-003,0.000000e+000,8.465789e-002,0.000000e+000,3,9.875873e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.317078e-001,0,1,0,
1711657807.662,,0.000000e+000,2.891286e+002,6.853966e-003,0.000000e+000,8.427201e-002,0.000000e+000,3,9.876415e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.489746e-001,0,1,0,
1711657830.069,,0.000000e+000,2.885330e+002,6.892993e-003,0.000000e+000,8.405759e-002,0.000000e+000,3,9.876348e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,3.926086e-001,0,1,0,
1711657862.252,,0.000000e+000,2.876907e+002,6.948418e-003,0.000000e+000,8.390588e-002,0.000000e+000,3,9.876101e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.876099e-001,0,1,0,
1711657900.168,,0.000000e+000,2.866060e+002,7.014058e-003,0.000000e+000,8.359773e-002,0.000000e+000,3,9.876385e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.374756e-001,0,1,0,
1711657938.855,,0.000000e+000,2.855673e+002,7.080948e-003,0.000000e+000,8.329544e-002,0.000000e+000,3,9.876793e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.121155e-001,0,1,0,
1711657969.267,,0.000000e+000,2.847006e+002,7.135143e-003,0.000000e+000,8.317965e-002,0.000000e+000,3,9.876568e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.194092e-001,0,1,0,
1711658007.196,,0.000000e+000,2.836237e+002,7.202617e-003,0.000000e+000,8.277937e-002,0.000000e+000,3,9.876971e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.732056e-001,0,0,0,
1711658042.360,,0.000000e+000,2.826284e+002,7.265578e-003,0.000000e+000,8.234832e-002,0.000000e+000,3,9.877055e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.904785e-001,0,0,0,
1711658075.276,,0.000000e+000,2.817339e+002,7.324026e-003,0.000000e+000,8.206072e-002,0.000000e+000,3,9.877383e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.664917e-001,0,0,0,
1711658109.943,,0.000000e+000,2.806909e+002,7.387479e-003,0.000000e+000,8.175801e-002,0.000000e+000,3,9.877584e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.217834e-001,0,0,0,
1711658142.603,,0.000000e+000,2.796512e+002,7.446143e-003,0.000000e+000,8.166435e-002,0.000000e+000,3,9.877867e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.715027e-001,0,0,0,
1711658180.275,,0.000000e+000,2.786093e+002,7.515353e-003,0.000000e+000,8.120853e-002,0.000000e+000,3,9.878231e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.770874e-001,0,0,0,
1711658212.946,,0.000000e+000,2.775909e+002,7.577477e-003,0.000000e+000,8.094012e-002,0.000000e+000,3,9.878553e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.328735e-001,0,0,0,
1711658245.368,,0.000000e+000,2.766149e+002,7.638502e-003,0.000000e+000,8.067035e-002,0.000000e+000,3,9.878774e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.583191e-001,0,0,0,
1711658277.777,,0.000000e+000,2.755771e+002,7.700008e-003,0.000000e+000,8.038973e-002,0.000000e+000,3,9.879460e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.241089e-001,0,0,0,
1711658308.485,,0.000000e+000,2.745673e+002,7.759735e-003,0.000000e+000,8.005496e-002,0.000000e+000,3,9.879848e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.906921e-001,0,0,0,
1711658340.646,,0.000000e+000,2.735993e+002,7.787968e-003,0.000000e+000,7.360089e-002,0.000000e+000,3,9.848112e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.064087e-001,0,1,0,
1711658370.802,,0.000000e+000,2.726436e+002,7.880423e-003,0.000000e+000,7.958491e-002,0.000000e+000,3,9.879986e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.477051e-001,0,1,0,
1711658405.469,,0.000000e+000,2.715461e+002,7.947901e-003,0.000000e+000,7.926296e-002,0.000000e+000,3,9.880924e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.464172e-001,0,1,0,
