[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711605317.436000 3/28/2024, 2:55:17 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PO-conc. #2
INFO, WEIGHT, 0.180
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: ZFC_FC.190512-3K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711605317.436,,0.000000e+000,5.002322e+000,7.514531e-002,0.000000e+000,9.360129e-002,0.000000e+000,3,9.873517e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.082420e-004,0,1,0,
1711605407.425,,0.000000e+000,8.540522e+000,7.309295e-002,0.000000e+000,9.347584e-002,0.000000e+000,3,9.873759e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.321943e-001,0,1,0,
1711605474.361,,0.000000e+000,1.154521e+001,7.092522e-002,0.000000e+000,9.331066e-002,0.000000e+000,3,9.873944e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.021805e-001,0,1,0,
1711605546.545,,0.000000e+000,1.484619e+001,6.879596e-002,0.000000e+000,9.309550e-002,0.000000e+000,3,9.874209e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.014939e+000,0,0,0,
1711605606.406,,0.000000e+000,1.793486e+001,6.723699e-002,0.000000e+000,9.298281e-002,0.000000e+000,3,9.873994e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.246082e-001,0,0,0,
1711605662.333,,0.000000e+000,2.068088e+001,6.588388e-002,0.000000e+000,9.289877e-002,0.000000e+000,3,9.874269e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.062302e-001,0,0,0,
1711605724.027,,0.000000e+000,2.380444e+001,6.449384e-002,0.000000e+000,9.274322e-002,0.000000e+000,3,9.874347e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.817192e-001,0,0,0,
1711605785.207,,0.000000e+000,2.689923e+001,6.317624e-002,0.000000e+000,9.261554e-002,0.000000e+000,3,9.874723e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.502583e-001,0,0,0,
1711605849.895,,0.000000e+000,3.003910e+001,6.184712e-002,0.000000e+000,9.225621e-002,0.000000e+000,3,9.874119e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.457493e-001,0,0,0,
1711605904.073,,0.000000e+000,3.271957e+001,6.077223e-002,0.000000e+000,9.223496e-002,0.000000e+000,3,9.874365e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.865700e-001,0,0,0,
1711605964.748,,0.000000e+000,3.574773e+001,5.959249e-002,0.000000e+000,9.194406e-002,0.000000e+000,3,9.874478e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.352417e-001,0,0,0,
1711606025.929,,0.000000e+000,3.878680e+001,5.844614e-002,0.000000e+000,9.197878e-002,0.000000e+000,3,9.874408e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.128700e-001,0,0,0,
1711606092.624,,0.000000e+000,4.206733e+001,5.724674e-002,0.000000e+000,9.169461e-002,0.000000e+000,3,9.874816e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.982925e-001,0,0,0,
1711606146.303,,0.000000e+000,4.483813e+001,5.627432e-002,0.000000e+000,9.191512e-002,0.000000e+000,3,9.875485e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.815498e-001,0,0,0,
1711606209.394,,0.000000e+000,4.799990e+001,5.520061e-002,0.000000e+000,9.160444e-002,0.000000e+000,3,9.875159e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.568710e-001,0,0,0,
1711606267.551,,0.000000e+000,5.082915e+001,5.421525e-002,0.000000e+000,9.165629e-002,0.000000e+000,3,9.874901e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.385468e-001,0,1,0,
1711606335.505,,0.000000e+000,5.428183e+001,5.308967e-002,0.000000e+000,9.142045e-002,0.000000e+000,3,9.875011e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.305588e-001,0,1,0,
1711606386.954,,0.000000e+000,5.683220e+001,5.226333e-002,0.000000e+000,9.136776e-002,0.000000e+000,3,9.874998e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.371216e-001,0,1,0,
1711606449.884,,0.000000e+000,5.994604e+001,5.126358e-002,0.000000e+000,9.135568e-002,0.000000e+000,3,9.875307e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.378700e-001,0,1,0,
1711606507.593,,0.000000e+000,6.287796e+001,5.035202e-002,0.000000e+000,9.124627e-002,0.000000e+000,3,9.874833e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.148003e-001,0,0,0,
1711606575.034,,0.000000e+000,6.627200e+001,4.933247e-002,0.000000e+000,9.104490e-002,0.000000e+000,3,9.875031e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.954727e-001,0,0,0,
1711606628.213,,0.000000e+000,6.888733e+001,4.854510e-002,0.000000e+000,9.104601e-002,0.000000e+000,3,9.875338e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.114380e-001,0,0,0,
1711606683.631,,0.000000e+000,7.178385e+001,4.773281e-002,0.000000e+000,9.079084e-002,0.000000e+000,3,9.875193e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.935699e-001,0,0,0,
1711606750.736,,0.000000e+000,7.501618e+001,4.674487e-002,0.000000e+000,9.060104e-002,0.000000e+000,3,9.875057e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.027496e-001,0,0,0,
1711606818.893,,0.000000e+000,7.847630e+001,4.579334e-002,0.000000e+000,9.031245e-002,0.000000e+000,3,9.875646e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.805405e-001,0,0,0,
1711606866.806,,0.000000e+000,8.082933e+001,4.512102e-002,0.000000e+000,9.007127e-002,0.000000e+000,3,9.875631e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.687271e-001,0,0,0,
1711606930.744,,0.000000e+000,8.405472e+001,4.423957e-002,0.000000e+000,8.988154e-002,0.000000e+000,3,9.876826e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.657593e-001,0,0,0,
1711606988.675,,0.000000e+000,8.697076e+001,4.344384e-002,0.000000e+000,8.953446e-002,0.000000e+000,3,9.876037e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.717712e-001,0,0,0,
