[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711888183.098000 3/31/2024, 9:29:43 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PO-conc3
INFO, WEIGHT, 116.900
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: IRM_acq_sub1.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711888183.098,,0.000000e+000,3.000208e+002,-2.100399e-003,0.000000e+000,2.611234e-002,0.000000e+000,3,9.892484e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,4.739380e-002,0,1,0,
1711888196.274,,0.000000e+000,3.000090e+002,-2.099226e-003,0.000000e+000,2.619439e-002,0.000000e+000,3,9.893535e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711888209.466,,0.000000e+000,2.999971e+002,-2.098765e-003,0.000000e+000,2.610217e-002,0.000000e+000,3,9.892848e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,2.371216e-002,0,1,0,
1711888224.370,,0.000000e+000,3.000149e+002,-2.097449e-003,0.000000e+000,2.617626e-002,0.000000e+000,3,9.893323e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.181030e-002,0,1,0,
1711888236.259,,0.000000e+000,3.000031e+002,-2.096859e-003,0.000000e+000,2.630377e-002,0.000000e+000,3,9.893464e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,1,0,
1711888575.751,,0.000000e+000,2.999971e+002,-2.081877e-003,0.000000e+000,2.705990e-002,0.000000e+000,3,9.892718e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,2.371216e-002,0,1,0,
1711888587.889,,0.000000e+000,3.000090e+002,-2.081765e-003,0.000000e+000,2.702843e-002,0.000000e+000,3,9.892582e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,2.371216e-002,0,1,0,
1711888603.446,,0.000000e+000,2.999912e+002,-2.081209e-003,0.000000e+000,2.714344e-002,0.000000e+000,3,9.892474e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.181030e-002,0,1,0,
1711888616.811,,0.000000e+000,3.000031e+002,-2.080610e-003,0.000000e+000,2.700002e-002,0.000000e+000,3,9.892713e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,1,0,
1711888631.000,,0.000000e+000,2.999971e+002,-2.080122e-003,0.000000e+000,2.711461e-002,0.000000e+000,3,9.892743e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711888974.868,,0.000000e+000,3.000031e+002,-2.071481e-003,0.000000e+000,2.770470e-002,0.000000e+000,3,9.893328e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,1,0,
1711888989.763,,0.000000e+000,3.000090e+002,-2.071383e-003,0.000000e+000,2.765502e-002,0.000000e+000,3,9.893129e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711889002.157,,0.000000e+000,2.999971e+002,-2.071179e-003,0.000000e+000,2.771769e-002,0.000000e+000,3,9.891687e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711889016.800,,0.000000e+000,3.000031e+002,-2.070751e-003,0.000000e+000,2.776675e-002,0.000000e+000,3,9.892871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,1,0,
1711889030.239,,0.000000e+000,3.000090e+002,-2.070615e-003,0.000000e+000,2.772301e-002,0.000000e+000,3,9.892824e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,1,0,
1711889360.031,,0.000000e+000,2.999971e+002,-2.064519e-003,0.000000e+000,2.804871e-002,0.000000e+000,3,9.892867e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,2.371216e-002,0,0,0,
1711889373.705,,0.000000e+000,2.999971e+002,-2.064501e-003,0.000000e+000,2.804178e-002,0.000000e+000,3,9.892452e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,0,0,
1711889387.348,,0.000000e+000,3.000031e+002,-2.064564e-003,0.000000e+000,2.801403e-002,0.000000e+000,3,9.891438e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,1.190186e-002,0,0,0,
1711889403.992,,0.000000e+000,3.000090e+002,-2.064192e-003,0.000000e+000,2.809074e-002,0.000000e+000,3,9.892240e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,5,1,0.000000e+000,0,0,0,
