[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711916334.684000 4/1/2024, 5:18:54 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PO-conc3
INFO, WEIGHT, 116.900
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: IRM_3T_300-5-300K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711916334.683,,0.000000e+000,3.000090e+002,2.239777e-003,0.000000e+000,2.604325e-002,0.000000e+000,3,9.893230e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,0.000000e+000,0,1,0,
1711916498.751,,0.000000e+000,2.988472e+002,2.248224e-003,0.000000e+000,2.605907e-002,0.000000e+000,3,9.894041e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.996765e-001,0,1,0,
1711916563.872,,0.000000e+000,2.976716e+002,2.260191e-003,0.000000e+000,2.617577e-002,0.000000e+000,3,9.893897e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,3.727112e-001,0,1,0,
1711916606.008,,0.000000e+000,2.966848e+002,2.272194e-003,0.000000e+000,2.614287e-002,0.000000e+000,3,9.893620e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.624939e-001,0,1,0,
1711916643.843,,0.000000e+000,2.955276e+002,2.284928e-003,0.000000e+000,2.610136e-002,0.000000e+000,3,9.893934e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.161133e-001,0,1,0,
1711916676.486,,0.000000e+000,2.945732e+002,2.296656e-003,0.000000e+000,2.607563e-002,0.000000e+000,3,9.893916e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.010986e-001,0,1,0,
1711916707.150,,0.000000e+000,2.936480e+002,2.307876e-003,0.000000e+000,2.606478e-002,0.000000e+000,3,9.893511e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.091858e-001,0,1,0,
1711916746.852,,0.000000e+000,2.926109e+002,2.321409e-003,0.000000e+000,2.575227e-002,0.000000e+000,3,9.894369e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.830017e-001,0,1,0,
1711916780.026,,0.000000e+000,2.917321e+002,2.333178e-003,0.000000e+000,2.549942e-002,0.000000e+000,3,9.893203e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.357056e-001,0,1,0,
1711916821.449,,0.000000e+000,2.905985e+002,2.346861e-003,0.000000e+000,2.532032e-002,0.000000e+000,3,9.892872e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.755920e-001,0,1,0,
1711916856.619,,0.000000e+000,2.896498e+002,2.358181e-003,0.000000e+000,2.492261e-002,0.000000e+000,3,9.893067e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.836121e-001,0,0,0,
1711916892.032,,0.000000e+000,2.886530e+002,2.369642e-003,0.000000e+000,2.477968e-002,0.000000e+000,3,9.893627e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.583130e-001,0,0,0,
1711916928.957,,0.000000e+000,2.877233e+002,2.381589e-003,0.000000e+000,2.448936e-002,0.000000e+000,3,9.893595e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.310974e-001,0,0,0,
1711916966.390,,0.000000e+000,2.866006e+002,2.393577e-003,0.000000e+000,2.435824e-002,0.000000e+000,3,9.893059e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.621887e-001,0,0,0,
1711916998.811,,0.000000e+000,2.856793e+002,2.404057e-003,0.000000e+000,2.421077e-002,0.000000e+000,3,9.893740e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.804993e-001,0,0,0,
1711917036.992,,0.000000e+000,2.846635e+002,2.416631e-003,0.000000e+000,2.382085e-002,0.000000e+000,3,9.892399e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.298157e-001,0,0,0,
1711917072.929,,0.000000e+000,2.835345e+002,2.428440e-003,0.000000e+000,2.363104e-002,0.000000e+000,3,9.892051e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.675049e-001,0,0,0,
1711917102.590,,0.000000e+000,2.826859e+002,2.438179e-003,0.000000e+000,2.344215e-002,0.000000e+000,3,9.893019e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.802856e-001,0,0,0,
1711917139.255,,0.000000e+000,2.815683e+002,2.450028e-003,0.000000e+000,2.330398e-002,0.000000e+000,3,9.892871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.487976e-001,0,0,0,
1711917168.919,,0.000000e+000,2.806756e+002,2.459863e-003,0.000000e+000,2.307766e-002,0.000000e+000,3,9.892821e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.935913e-001,0,0,0,
1711917205.262,,0.000000e+000,2.796155e+002,2.471399e-003,0.000000e+000,2.284203e-002,0.000000e+000,3,9.893858e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.816040e-001,0,0,0,
1711917242.196,,0.000000e+000,2.784626e+002,2.483696e-003,0.000000e+000,2.271821e-002,0.000000e+000,3,9.893398e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.460815e-001,0,1,0,
1711917271.649,,0.000000e+000,2.776259e+002,2.493466e-003,0.000000e+000,2.244383e-002,0.000000e+000,3,9.892805e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.224915e-001,0,1,0,
1711917302.856,,0.000000e+000,2.766050e+002,2.503973e-003,0.000000e+000,2.230415e-002,0.000000e+000,3,9.893528e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,5.982056e-001,0,1,0,
1711917333.432,,0.000000e+000,2.756664e+002,2.513631e-003,0.000000e+000,2.223761e-002,0.000000e+000,3,9.893671e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.631775e-001,0,1,0,
1711917369.310,,0.000000e+000,2.745231e+002,2.525381e-003,0.000000e+000,2.201928e-002,0.000000e+000,3,9.893421e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,4.610901e-001,0,1,0,
1711917397.217,,0.000000e+000,2.736774e+002,2.534488e-003,0.000000e+000,2.183448e-002,0.000000e+000,3,9.893984e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.237793e-001,0,1,0,
