[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1711864556.353000 3/31/2024, 2:55:56 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, PO-conc3
INFO, WEIGHT, 116.900
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: ZFC_FC.190512-3K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1711864556.352,,0.000000e+000,5.003185e+000,7.090706e-002,0.000000e+000,1.219349e-002,0.000000e+000,3,9.906842e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,2.696991e-003,0,1,0,
1711864649.072,,0.000000e+000,8.550514e+000,6.751798e-002,0.000000e+000,1.173392e-002,0.000000e+000,3,9.906114e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.224718e-001,0,1,0,
1711864717.260,,0.000000e+000,1.162267e+001,6.405840e-002,0.000000e+000,1.122322e-002,0.000000e+000,3,9.907549e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.357693e-001,0,1,0,
1711864784.707,,0.000000e+000,1.479113e+001,6.093989e-002,0.000000e+000,1.085458e-002,0.000000e+000,3,9.908276e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.299202e-001,0,0,0,
1711864845.056,,0.000000e+000,1.782335e+001,5.845529e-002,0.000000e+000,1.057403e-002,0.000000e+000,3,9.907570e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.267494e-001,0,0,0,
1711864899.704,,0.000000e+000,2.058283e+001,5.637365e-002,0.000000e+000,1.014835e-002,0.000000e+000,3,9.908827e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.110996e-001,0,0,0,
1711864962.132,,0.000000e+000,2.372458e+001,5.414453e-002,0.000000e+000,9.819395e-003,0.000000e+000,3,9.907324e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.891197e-001,0,0,0,
1711865025.082,,0.000000e+000,2.674714e+001,5.201221e-002,0.000000e+000,9.515749e-003,0.000000e+000,3,9.908029e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.652710e-001,0,0,0,
1711865091.268,,0.000000e+000,3.010144e+001,4.990041e-002,0.000000e+000,8.985066e-003,0.000000e+000,3,9.907669e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.526100e-001,0,0,0,
1711865143.943,,0.000000e+000,3.272260e+001,4.828295e-002,0.000000e+000,8.682698e-003,0.000000e+000,3,9.906226e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.967506e-001,0,0,0,
1711865206.866,,0.000000e+000,3.583065e+001,4.643235e-002,0.000000e+000,8.558670e-003,0.000000e+000,3,9.909318e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.425903e-001,0,0,0,
1711865263.793,,0.000000e+000,3.859312e+001,4.483132e-002,0.000000e+000,8.222119e-003,0.000000e+000,3,9.908505e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.285927e-001,0,0,0,
1711865329.742,,0.000000e+000,4.197852e+001,4.307142e-002,0.000000e+000,7.933751e-003,0.000000e+000,3,9.907770e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.083176e-001,0,0,0,
1711865387.926,,0.000000e+000,4.484911e+001,4.160422e-002,0.000000e+000,7.807147e-003,0.000000e+000,3,9.908304e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.951317e-001,0,0,0,
1711865451.858,,0.000000e+000,4.807263e+001,4.006927e-002,0.000000e+000,7.611859e-003,0.000000e+000,3,9.908240e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.879997e-001,0,0,0,
1711865505.803,,0.000000e+000,5.076019e+001,3.881902e-002,0.000000e+000,7.582626e-003,0.000000e+000,3,9.909919e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.414597e-001,0,1,0,
1711865571.737,,0.000000e+000,5.405083e+001,3.738513e-002,0.000000e+000,7.231755e-003,0.000000e+000,3,9.907713e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,6.248589e-001,0,1,0,
1711865626.678,,0.000000e+000,5.681450e+001,3.624084e-002,0.000000e+000,7.058394e-003,0.000000e+000,3,9.908575e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.308929e-001,0,1,0,
1711865688.103,,0.000000e+000,5.988162e+001,3.502246e-002,0.000000e+000,6.935150e-003,0.000000e+000,3,9.908667e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.028950e+000,0,1,0,
1711865747.539,,0.000000e+000,6.287294e+001,3.389697e-002,0.000000e+000,6.659152e-003,0.000000e+000,3,9.908013e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.248291e-001,0,1,0,
1711865811.518,,0.000000e+000,6.601925e+001,3.274474e-002,0.000000e+000,6.430520e-003,0.000000e+000,3,9.908900e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.015121e+000,0,0,0,
1711865867.471,,0.000000e+000,6.884160e+001,3.178042e-002,0.000000e+000,6.206857e-003,0.000000e+000,3,9.908398e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.903519e-001,0,0,0,
1711865923.407,,0.000000e+000,7.168142e+001,3.085936e-002,0.000000e+000,6.073403e-003,0.000000e+000,3,9.908003e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,7.014618e-001,0,0,0,
1711865984.626,,0.000000e+000,7.475573e+001,2.989576e-002,0.000000e+000,5.652980e-003,0.000000e+000,3,9.907466e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.948822e-001,0,0,0,
1711866054.351,,0.000000e+000,7.823773e+001,2.884024e-002,0.000000e+000,5.251899e-003,0.000000e+000,3,9.907241e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.833298e-001,0,0,0,
1711866109.446,,0.000000e+000,8.106308e+001,2.803417e-002,0.000000e+000,4.932335e-003,0.000000e+000,3,9.906942e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.616928e-001,0,0,0,
1711866168.765,,0.000000e+000,8.396071e+001,2.719793e-002,0.000000e+000,4.461419e-003,0.000000e+000,3,9.908044e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.467773e-001,0,0,0,
1711866225.453,,0.000000e+000,8.687042e+001,2.642769e-002,0.000000e+000,4.206556e-003,0.000000e+000,3,9.906657e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,8.519363e-001,0,0,0,
1711866292.386,,0.000000e+000,9.017685e+001,2.554037e-002,0.000000e+000,3.867440e-003,0.000000e+000,3,9.909251e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,1.042473e+000,0,0,0,
1711866347.556,,0.000000e+000,9.292714e+001,2.483823e-002,0.000000e+000,3.546841e-003,0.000000e+000,3,9.909189e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,5.000000e-001,5,1,9.271545e-001,0,0,0,
