tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
NWFB-1A	NWFB-1A	NA	This study	LP-NOMAG		
NWFB-1B	NWFB-1B	NA	This study	LP-NOMAG		
NWFB-1C	NWFB-1C	NA	This study	LP-NOMAG		
NWFB-1D	NWFB-1D	NA	This study	LP-NOMAG		
NWFB-1E	NWFB-1E	NA	This study	LP-NOMAG		
NWFB-1F	NWFB-1F	NA	This study	LP-NOMAG		
NWFB-1G	NWFB-1G	NA	This study	LP-NOMAG		
NWFB-1H	NWFB-1H	NA	This study	LP-NOMAG		
NWFB-2A	NWFB-2A	NA	This study	LP-NOMAG		
NWFB-2B	NWFB-2B	NA	This study	LP-NOMAG		
NWFB-2C	NWFB-2C	NA	This study	LP-NOMAG		
NWFB-2D	NWFB-2D	NA	This study	LP-NOMAG		
NWFB-2E	NWFB-2E	NA	This study	LP-NOMAG		
NWFB-2F	NWFB-2F	NA	This study	LP-NOMAG		
NWFB-2G	NWFB-2G	NA	This study	LP-NOMAG		
NWFB-2H	NWFB-2H	NA	This study	LP-NOMAG		
NWFB-3A	NWFB-3A	NA	This study	LP-NOMAG		
NWFB-3B	NWFB-3B	NA	This study	LP-NOMAG		
NWFB-3C	NWFB-3C	NA	This study	LP-NOMAG		
NWFB-3D	NWFB-3D	NA	This study	LP-NOMAG		
NWFB-3E	NWFB-3E	NA	This study	LP-NOMAG		
NWFB-3F	NWFB-3F	NA	This study	LP-NOMAG		
NWFB-3G	NWFB-3G	NA	This study	LP-NOMAG		
NWFB-3H	NWFB-3H	NA	This study	LP-NOMAG		
NWFB-3I	NWFB-3I	NA	This study	LP-NOMAG		
