tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKQA-1A	PKQA-1	NA	This study	LP-NOMAG		
PKQA-1B	PKQA-1	NA	This study	LP-NOMAG		
PKQA-1C	PKQA-1	NA	This study	LP-NOMAG		
PKQA-1D	PKQA-1	NA	This study	LP-NOMAG		
PKQA-1E	PKQA-1	NA	This study	LP-NOMAG		
PKQA-2A	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2B	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2C	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2D	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2E	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2F	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2G	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2H	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2I	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2J	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2K	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2L	PKQA-2	NA	This study	LP-NOMAG		
PKQA-2M	PKQA-2	NA	This study	LP-NOMAG		
PKQA-3A	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3B	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3C	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3D	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3E	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3F	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3G	PKQA-3	NA	This study	LP-NOMAG		
PKQA-3H	PKQA-3	NA	This study	LP-NOMAG		
PKQA-4A	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4B	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4C	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4D	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4E	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4F	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4G	PKQA-4	NA	This study	LP-NOMAG		
PKQA-4H	PKQA-4	NA	This study	LP-NOMAG		
PKQA-5A	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5B	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5C	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5D	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5E	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5F	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5G	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5H	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5I	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5J	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5K	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5L	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5M	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5N	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5O	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5P	PKQA-5	NA	This study	LP-NOMAG		
PKQA-5Q	PKQA-5	NA	This study	LP-NOMAG		
PKQA-6A	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6B	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6C	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6D	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6E	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6F	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6G	PKQA-6	NA	This study	LP-NOMAG		
PKQA-6H	PKQA-6	NA	This study	LP-NOMAG		
