tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
PKSF-1A	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1B	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1C	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1D	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1E	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1F	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1G	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1H	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1I	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1J	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1K	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1L	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-1M	PKSF	0				NA	   70.0	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
PKSF-2A	PKSF	0				NA	   -6.5	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
PKSF-2B	PKSF	0				NA	   -6.5	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
PKSF-2C	PKSF	0				NA	   -6.5	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
PKSF-2D	PKSF	0				NA	   -6.5	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
