tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSF-1A	PKSF-1A	NA	This study	LP-NOMAG		
PKSF-1B	PKSF-1B	NA	This study	LP-NOMAG		
PKSF-1C	PKSF-1C	NA	This study	LP-NOMAG		
PKSF-1D	PKSF-1D	NA	This study	LP-NOMAG		
PKSF-1E	PKSF-1E	NA	This study	LP-NOMAG		
PKSF-1F	PKSF-1F	NA	This study	LP-NOMAG		
PKSF-1G	PKSF-1G	NA	This study	LP-NOMAG		
PKSF-1H	PKSF-1H	NA	This study	LP-NOMAG		
PKSF-1I	PKSF-1I	NA	This study	LP-NOMAG		
PKSF-1J	PKSF-1J	NA	This study	LP-NOMAG		
PKSF-1K	PKSF-1K	NA	This study	LP-NOMAG		
PKSF-1L	PKSF-1L	NA	This study	LP-NOMAG		
PKSF-1M	PKSF-1M	NA	This study	LP-NOMAG		
PKSF-2A	PKSF-2A	NA	This study	LP-NOMAG		
PKSF-2B	PKSF-2B	NA	This study	LP-NOMAG		
PKSF-2C	PKSF-2C	NA	This study	LP-NOMAG		
PKSF-2D	PKSF-2D	NA	This study	LP-NOMAG		
PKSF-2E	PKSF-2E	NA	This study	LP-NOMAG		
PKSF-2F	PKSF-2F	NA	This study	LP-NOMAG		
PKSF-2G	PKSF-2G	NA	This study	LP-NOMAG		
PKSF-2H	PKSF-2H	NA	This study	LP-NOMAG		
PKSF-2I	PKSF-2I	NA	This study	LP-NOMAG		
PKSF-2J	PKSF-2J	NA	This study	LP-NOMAG		
PKSF-2K	PKSF-2K	NA	This study	LP-NOMAG		
PKSF-2L	PKSF-2L	NA	This study	LP-NOMAG		
PKSF-3A	PKSF-3A	NA	This study	LP-NOMAG		
PKSF-3B	PKSF-3B	NA	This study	LP-NOMAG		
PKSF-3C	PKSF-3C	NA	This study	LP-NOMAG		
PKSF-3D	PKSF-3D	NA	This study	LP-NOMAG		
PKSF-3E	PKSF-3E	NA	This study	LP-NOMAG		
PKSF-3F	PKSF-3F	NA	This study	LP-NOMAG		
PKSF-3G	PKSF-3G	NA	This study	LP-NOMAG		
PKSF-3H	PKSF-3H	NA	This study	LP-NOMAG		
PKSF-3I	PKSF-3I	NA	This study	LP-NOMAG		
PKSF-3J	PKSF-3J	NA	This study	LP-NOMAG		
PKSF-3K	PKSF-3K	NA	This study	LP-NOMAG		
PKSF-3L	PKSF-3L	NA	This study	LP-NOMAG		
PKSF-3M	PKSF-3M	NA	This study	LP-NOMAG		
PKSF-4A	PKSF-4A	NA	This study	LP-NOMAG		
PKSF-4B	PKSF-4B	NA	This study	LP-NOMAG		
PKSF-4C	PKSF-4C	NA	This study	LP-NOMAG		
PKSF-4D	PKSF-4D	NA	This study	LP-NOMAG		
PKSF-4E	PKSF-4E	NA	This study	LP-NOMAG		
PKSF-4F	PKSF-4F	NA	This study	LP-NOMAG		
PKSF-4G	PKSF-4G	NA	This study	LP-NOMAG		
PKSF-4H	PKSF-4H	NA	This study	LP-NOMAG		
PKSF-4I	PKSF-4I	NA	This study	LP-NOMAG		
PKSF-4J	PKSF-4J	NA	This study	LP-NOMAG		
PKSF-4K	PKSF-4K	NA	This study	LP-NOMAG		
PKSF-4L	PKSF-4L	NA	This study	LP-NOMAG		
PKSF-5A	PKSF-5A	NA	This study	LP-NOMAG		
PKSF-5B	PKSF-5B	NA	This study	LP-NOMAG		
PKSF-5C	PKSF-5C	NA	This study	LP-NOMAG		
PKSF-5D	PKSF-5D	NA	This study	LP-NOMAG		
PKSF-5E	PKSF-5E	NA	This study	LP-NOMAG		
PKSF-5F	PKSF-5F	NA	This study	LP-NOMAG		
PKSF-5G	PKSF-5G	NA	This study	LP-NOMAG		
PKSF-5H	PKSF-5H	NA	This study	LP-NOMAG		
PKSF-5I	PKSF-5I	NA	This study	LP-NOMAG		
PKSF-5J	PKSF-5J	NA	This study	LP-NOMAG		
PKSF-5K	PKSF-5K	NA	This study	LP-NOMAG		
PKSF-5L	PKSF-5L	NA	This study	LP-NOMAG		
PKSF-5M	PKSF-5M	NA	This study	LP-NOMAG		
PKSF-6A	PKSF-6A	NA	This study	LP-NOMAG		
PKSF-6B	PKSF-6B	NA	This study	LP-NOMAG		
PKSF-6C	PKSF-6C	NA	This study	LP-NOMAG		
PKSF-6D	PKSF-6D	NA	This study	LP-NOMAG		
PKSF-6E	PKSF-6E	NA	This study	LP-NOMAG		
PKSF-6F	PKSF-6F	NA	This study	LP-NOMAG		
PKSF-6G	PKSF-6G	NA	This study	LP-NOMAG		
PKSF-7A	PKSF-7A	NA	This study	LP-NOMAG		
PKSF-7B	PKSF-7B	NA	This study	LP-NOMAG		
PKSF-7C	PKSF-7C	NA	This study	LP-NOMAG		
PKSF-7D	PKSF-7D	NA	This study	LP-NOMAG		
PKSF-7E	PKSF-7E	NA	This study	LP-NOMAG		
PKSF-7F	PKSF-7F	NA	This study	LP-NOMAG		
PKSF-7G	PKSF-7G	NA	This study	LP-NOMAG		
PKSF-7H	PKSF-7H	NA	This study	LP-NOMAG		
PKSF-7I	PKSF-7I	NA	This study	LP-NOMAG		
PKSF-7J	PKSF-7J	NA	This study	LP-NOMAG		
PKSF-8A	PKSF-8A	NA	This study	LP-NOMAG		
PKSF-8B	PKSF-8B	NA	This study	LP-NOMAG		
PKSF-8C	PKSF-8C	NA	This study	LP-NOMAG		
PKSF-8D	PKSF-8D	NA	This study	LP-NOMAG		
PKSF-8E	PKSF-8E	NA	This study	LP-NOMAG		
PKSF-8F	PKSF-8F	NA	This study	LP-NOMAG		
PKSF-8G	PKSF-8G	NA	This study	LP-NOMAG		
PKSF-8H	PKSF-8H	NA	This study	LP-NOMAG		
PKSF-9A	PKSF-9A	NA	This study	LP-NOMAG		
PKSF-9B	PKSF-9B	NA	This study	LP-NOMAG		
PKSF-9C	PKSF-9C	NA	This study	LP-NOMAG		
PKSF-9D	PKSF-9D	NA	This study	LP-NOMAG		
PKSF-9E	PKSF-9E	NA	This study	LP-NOMAG		
PKSF-9F	PKSF-9F	NA	This study	LP-NOMAG		
PKSF-9G	PKSF-9G	NA	This study	LP-NOMAG		
PKSF-9H	PKSF-9H	NA	This study	LP-NOMAG		
