tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSG-1A	PKSG-1A	NA	This study	LP-NOMAG		
PKSG-1B	PKSG-1B	NA	This study	LP-NOMAG		
PKSG-1C	PKSG-1C	NA	This study	LP-NOMAG		
PKSG-1D	PKSG-1D	NA	This study	LP-NOMAG		
PKSG-1E	PKSG-1E	NA	This study	LP-NOMAG		
PKSG-1F	PKSG-1F	NA	This study	LP-NOMAG		
PKSG-1G	PKSG-1G	NA	This study	LP-NOMAG		
PKSG-2A	PKSG-2A	NA	This study	LP-NOMAG		
PKSG-2B	PKSG-2B	NA	This study	LP-NOMAG		
PKSG-2C	PKSG-2C	NA	This study	LP-NOMAG		
PKSG-2D	PKSG-2D	NA	This study	LP-NOMAG		
PKSG-2E	PKSG-2E	NA	This study	LP-NOMAG		
PKSG-2F	PKSG-2F	NA	This study	LP-NOMAG		
PKSG-2G	PKSG-2G	NA	This study	LP-NOMAG		
PKSG-2H	PKSG-2H	NA	This study	LP-NOMAG		
PKSG-3A	PKSG-3A	NA	This study	LP-NOMAG		
PKSG-3B	PKSG-3B	NA	This study	LP-NOMAG		
PKSG-3C	PKSG-3C	NA	This study	LP-NOMAG		
PKSG-3D	PKSG-3D	NA	This study	LP-NOMAG		
PKSG-3E	PKSG-3E	NA	This study	LP-NOMAG		
PKSG-4A	PKSG-4A	NA	This study	LP-NOMAG		
PKSG-4B	PKSG-4B	NA	This study	LP-NOMAG		
PKSG-4C	PKSG-4C	NA	This study	LP-NOMAG		
PKSG-4D	PKSG-4D	NA	This study	LP-NOMAG		
PKSG-4E	PKSG-4E	NA	This study	LP-NOMAG		
PKSG-4F	PKSG-4F	NA	This study	LP-NOMAG		
PKSG-4G	PKSG-4G	NA	This study	LP-NOMAG		
PKSG-5A	PKSG-5A	NA	This study	LP-NOMAG		
PKSG-5B	PKSG-5B	NA	This study	LP-NOMAG		
PKSG-5C	PKSG-5C	NA	This study	LP-NOMAG		
PKSG-5D	PKSG-5D	NA	This study	LP-NOMAG		
PKSG-5E	PKSG-5E	NA	This study	LP-NOMAG		
PKSG-6A	PKSG-6A	NA	This study	LP-NOMAG		
PKSG-6B	PKSG-6B	NA	This study	LP-NOMAG		
PKSG-6C	PKSG-6C	NA	This study	LP-NOMAG		
PKSG-7A	PKSG-7A	NA	This study	LP-NOMAG		
PKSG-7B	PKSG-7B	NA	This study	LP-NOMAG		
PKSG-7C	PKSG-7C	NA	This study	LP-NOMAG		
PKSG-7D	PKSG-7D	NA	This study	LP-NOMAG		
PKSG-8A	PKSG-8A	NA	This study	LP-NOMAG		
PKSG-8B	PKSG-8B	NA	This study	LP-NOMAG		
PKSG-8C	PKSG-8C	NA	This study	LP-NOMAG		
PKSG-8D	PKSG-8D	NA	This study	LP-NOMAG		
PKSG-8E	PKSG-8E	NA	This study	LP-NOMAG		
