tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSH-1A	PKSH-1A	NA	This study	LP-NOMAG		
PKSH-1B	PKSH-1B	NA	This study	LP-NOMAG		
PKSH-1C	PKSH-1C	NA	This study	LP-NOMAG		
PKSH-1D	PKSH-1D	NA	This study	LP-NOMAG		
PKSH-1E	PKSH-1E	NA	This study	LP-NOMAG		
PKSH-1F	PKSH-1F	NA	This study	LP-NOMAG		
PKSH-1G	PKSH-1G	NA	This study	LP-NOMAG		
PKSH-1H	PKSH-1H	NA	This study	LP-NOMAG		
PKSH-1I	PKSH-1I	NA	This study	LP-NOMAG		
PKSH-1J	PKSH-1J	NA	This study	LP-NOMAG		
PKSH-1K	PKSH-1K	NA	This study	LP-NOMAG		
PKSH-1L	PKSH-1L	NA	This study	LP-NOMAG		
PKSH-2A	PKSH-2A	NA	This study	LP-NOMAG		
PKSH-2B	PKSH-2B	NA	This study	LP-NOMAG		
PKSH-2C	PKSH-2C	NA	This study	LP-NOMAG		
PKSH-2D	PKSH-2D	NA	This study	LP-NOMAG		
PKSH-2E	PKSH-2E	NA	This study	LP-NOMAG		
PKSH-2F	PKSH-2F	NA	This study	LP-NOMAG		
PKSH-2G	PKSH-2G	NA	This study	LP-NOMAG		
PKSH-2H	PKSH-2H	NA	This study	LP-NOMAG		
PKSH-2I	PKSH-2I	NA	This study	LP-NOMAG		
PKSH-2J	PKSH-2J	NA	This study	LP-NOMAG		
PKSH-3A	PKSH-3A	NA	This study	LP-NOMAG		
PKSH-3B	PKSH-3B	NA	This study	LP-NOMAG		
PKSH-3C	PKSH-3C	NA	This study	LP-NOMAG		
PKSH-3D	PKSH-3D	NA	This study	LP-NOMAG		
PKSH-3E	PKSH-3E	NA	This study	LP-NOMAG		
PKSH-3F	PKSH-3F	NA	This study	LP-NOMAG		
PKSH-3G	PKSH-3G	NA	This study	LP-NOMAG		
