tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSJ-1A	PKSJ-1A	NA	This study	LP-NOMAG		
PKSJ-1B	PKSJ-1B	NA	This study	LP-NOMAG		
PKSJ-1C	PKSJ-1C	NA	This study	LP-NOMAG		
PKSJ-1D	PKSJ-1D	NA	This study	LP-NOMAG		
PKSJ-1E	PKSJ-1E	NA	This study	LP-NOMAG		
PKSJ-2A	PKSJ-2A	NA	This study	LP-NOMAG		
PKSJ-2B	PKSJ-2B	NA	This study	LP-NOMAG		
PKSJ-2C	PKSJ-2C	NA	This study	LP-NOMAG		
PKSJ-2D	PKSJ-2D	NA	This study	LP-NOMAG		
PKSJ-2E	PKSJ-2E	NA	This study	LP-NOMAG		
PKSJ-3A	PKSJ-3A	NA	This study	LP-NOMAG		
PKSJ-3B	PKSJ-3B	NA	This study	LP-NOMAG		
PKSJ-3C	PKSJ-3C	NA	This study	LP-NOMAG		
PKSJ-3D	PKSJ-3D	NA	This study	LP-NOMAG		
PKSJ-3E	PKSJ-3E	NA	This study	LP-NOMAG		
