tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSK-1A	PKSK-1A	NA	This study	LP-NOMAG		
PKSK-1B	PKSK-1B	NA	This study	LP-NOMAG		
PKSK-1C	PKSK-1C	NA	This study	LP-NOMAG		
PKSK-1D	PKSK-1D	NA	This study	LP-NOMAG		
PKSK-1E	PKSK-1E	NA	This study	LP-NOMAG		
PKSK-2A	PKSK-2A	NA	This study	LP-NOMAG		
PKSK-2B	PKSK-2B	NA	This study	LP-NOMAG		
PKSK-2C	PKSK-2C	NA	This study	LP-NOMAG		
PKSK-2D	PKSK-2D	NA	This study	LP-NOMAG		
PKSK-2E	PKSK-2E	NA	This study	LP-NOMAG		
PKSK-2F	PKSK-2F	NA	This study	LP-NOMAG		
