tab	demag_orient
sample_name	sample_orientation_flag	mag_azimuth	field_dip	bedding_dip_direction	bedding_dip	shadow_angle	lat	long	date	hhmm	GPS_baseline	GPS_Az
NWFA-1	g		-59.0	90.0	0.0		15.6	106.1				
NWFA-2	g		-47.5	90.0	0.0		15.6	106.1				
NWFA-3	g		-41.5	90.0	0.0		15.6	106.1				
NWFA-4	g		-60.0	90.0	0.0		15.6	106.1				
NWFA-5	g		-110.0	90.0	0.0		15.6	106.1				
NWFB-1	g		-12.0	90.0	0.0		15.6	106.0				
NWFB-2	g		-52.0	90.0	0.0		15.6	106.0				
NWFB-3	g		-29.0	90.0	0.0		15.6	106.0				
NWFC-1	g		-51.0	88.6	0.0		15.4	106.1				
NWFC-2	g		-16.0	88.6	0.0		15.4	106.1				
NWFC-3	g		-26.0	88.6	0.0		15.4	106.1				
NWFC-4	g		-55.0	88.6	0.0		15.4	106.1				
NWFC-5	g		-58.5	88.6	0.0		15.4	106.1				
NWFC-6	g		-63.0	88.6	0.0		15.4	106.1				
NWFC-7	g		-106.0	88.6	0.0		15.4	106.1				
NWFC-8	g		-70.5	88.6	0.0		15.4	106.1				
PKQA-0	g		-76.0	88.7	0.0		15.1	105.8				
PKQA-1	g		-72.0	88.7	0.0		15.1	105.8				
PKQA-2	g		-72.0	88.7	0.0		15.1	105.8				
PKQA-3	g		-49.0	88.7	0.0		15.1	105.8				
PKQA-4	g		-42.0	88.7	0.0		15.1	105.8				
PKQA-5	g		-49.0	88.7	0.0		15.1	105.8				
PKQA-6	g		-54.0	88.7	0.0		15.1	105.8				
PKQA-7	g		-57.0	88.7	0.0		15.1	105.8				
PKQA-8	g		-50.0	88.7	0.0		15.1	105.8				
PKQA-9	g		-56.5	88.7	0.0		15.1	105.8				
PKSB-1	g		-19.5	88.7	0.0		15.2	106.2				
PKSF-0	g		-32.0	90.0	0.0		15.1	106.2				
PKSF-1	g		-55.0	90.0	0.0		15.1	106.2				
PKSF-1.	g		-53.0	90.0	0.0		15.1	106.2				
PKSF-2	g		-64.0	90.0	0.0		15.1	106.2				
PKSF-3	g		-73.0	90.0	0.0		15.1	106.2				
PKSF-4	g		-48.0	90.0	0.0		15.1	106.2				
PKSF-5	g		-36.0	90.0	0.0		15.1	106.2				
PKSF-6	g		-38.0	90.0	0.0		15.1	106.2				
PKSF-7	g		-36.0	90.0	0.0		15.1	106.2				
PKSF-8	g		-28.0	90.0	0.0		15.1	106.2				
PKSF-9	g		-28.0	90.0	0.0		15.1	106.2				
PKSG-1	g		-23.5	90.0	0.0		15.2	106.2				
PKSG-2	g		-39.0	90.0	0.0		15.2	106.2				
PKSG-3	g		-29.0	90.0	0.0		15.2	106.2				
PKSG-4	g		-11.0	90.0	0.0		15.2	106.2				
PKSG-5	g		-50.0	90.0	0.0		15.2	106.2				
PKSG-6	g		-82.0	90.0	0.0		15.2	106.2				
PKSG-7	g		-14.0	90.0	0.0		15.2	106.2				
PKSG-8	g		-44.0	90.0	0.0		15.2	106.2				
PKSH-1	g		-23.0	90.0	0.0		15.2	106.2				
PKSH-2	g		-5.0	90.0	0.0		15.2	106.2				
PKSH-3	g		-24.5	90.0	0.0		15.2	106.2				
PKSI-1	g		-25.0	88.7	0.0		15.2	106.2				
PKSJ-1	g		-13.0	88.7	0.0		15.2	106.3				
PKSJ-2	g		-16.0	88.7	0.0		15.2	106.3				
PKSJ-3	g		-11.5	88.7	0.0		15.2	106.3				
PKSK-1	g		-28.0	88.7	0.0		15.2	106.3				
PKSK-2	g		-18.0	88.7	0.0		15.2	106.3				
WBEA-1	g		-22.0	90.0	0.0		15.3	106.3				
WBEA-2	g		-8.0	90.0	0.0		15.3	106.3				
