tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-07-01 12:11:35	LT-NO:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-1	1.7	234.2	nan	g	-42.7	1.32e-05	0	8	2.83e-07	2e-07	2.3e-07	u	273	1	0	0	0.0	0.0	273.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-07-08 16:33:29	LT-LT-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-2	28.0	222.1	nan	b	-39.2	6.56e-06	1	8	4.03e-06	3.65e-06	4.43e-06	u	273	2	0	0	0.0	0.0	77.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-07-11 13:59:47	LT-LT-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-3	5.4	228.3	nan	g	-40.2	1.3e-05	2	8	1.02e-06	6.89e-07	2.17e-07	u	273	3	0	0	0.0	0.0	77.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-07-30 17:05:04	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-4	0.8	229.1	nan	g	-39.8	1.3e-05	3	8	1.01e-07	1.05e-07	1.17e-07	u	273	4	0	0	0.0	0.0	343.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-08-01 10:14:10	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-5	1.4	228.9	nan	g	-37.6	1.27e-05	4	8	2.6e-07	1.27e-07	1.38e-07	u	273	5	0	0	0.0	0.0	373.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-09-07 15:18:49	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-6	2.1	228.8	nan	g	-37.7	1.27e-05	5	8	3.01e-07	3.5e-07	1.25e-07	u	273	6	0	0	0.0	0.0	403.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-09-12 11:54:41	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-7	2.9	230.4	nan	g	-37.6	1.26e-05	6	8	4.36e-07	4.68e-07	1.4e-07	u	273	7	0	0	0.0	0.0	433.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-09-17 11:42:50	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-8	2.4	229.2	nan	g	-34.8	1.24e-05	7	8	3.16e-07	3.8e-07	1.52e-07	u	273	8	0	0	0.0	0.0	463.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-10-10 18:22:41	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-9	3.6	229.5	nan	g	-34.4	1.22e-05	8	8	5.23e-07	5.5e-07	1.66e-07	u	273	9	0	0	0.0	0.0	483.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-10-18 09:20:54	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-10	5.1	220.5	nan	g	-30.8	9.96e-06	9	8	5.01e-07	7.19e-07	1.56e-07	u	273	10	0	0	0.0	0.0	513.0
nan	This study	NWFA	NWFA-1	NWFA	NWFA-1B	NWFA-1B_LP-DIR-T	shoemake 2024-10-26 14:48:43	LT-T-Z:LP-DIR-T	pmagpy-4.3.7	NWFA-1B_LP-DIR-T-11	17.3	210.0	nan	b	-31.6	9.51e-06	10	8	1.24e-06	2.69e-06	1.64e-07	u	273	11	0	0	0.0	0.0	543.0
