tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
NWFA-1B_LP-DIR-T-1	NWFA-1B_LP-DIR-T	NWFA-1B	1.7	234.2	-42.7	0	0	0	0	0	273	This study	shoemake 2024-07-01 12:11:35	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.3.7	1.32e-05	2.83e-07	2e-07	2.3e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-3	NWFA-1B_LP-DIR-T	NWFA-1B	5.4	228.3	-40.2	0	0	0	0	2	77	This study	shoemake 2024-07-11 13:59:47	LT-LT-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.3.7	1.3e-05	1.02e-06	6.89e-07	2.17e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-4	NWFA-1B_LP-DIR-T	NWFA-1B	0.8	229.1	-39.8	0	0	0	0	3	343	This study	shoemake 2024-07-30 17:05:04	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.3.7	1.3e-05	1.01e-07	1.05e-07	1.17e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-5	NWFA-1B_LP-DIR-T	NWFA-1B	1.4	228.9	-37.6	0	0	0	0	4	373	This study	shoemake 2024-08-01 10:14:10	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.3.7	1.27e-05	2.6e-07	1.27e-07	1.38e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-6	NWFA-1B_LP-DIR-T	NWFA-1B	2.1	228.8	-37.7	0	0	0	0	5	403	This study	shoemake 2024-09-07 15:18:49	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.3.7	1.27e-05	3.01e-07	3.5e-07	1.25e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-7	NWFA-1B_LP-DIR-T	NWFA-1B	2.9	230.4	-37.6	0	0	0	0	6	433	This study	shoemake 2024-09-12 11:54:41	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.3.7	1.26e-05	4.36e-07	4.68e-07	1.4e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-8	NWFA-1B_LP-DIR-T	NWFA-1B	2.4	229.2	-34.8	0	0	0	0	7	463	This study	shoemake 2024-09-17 11:42:50	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.3.7	1.24e-05	3.16e-07	3.8e-07	1.52e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-9	NWFA-1B_LP-DIR-T	NWFA-1B	3.6	229.5	-34.4	0	0	0	0	8	483	This study	shoemake 2024-10-10 18:22:41	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.3.7	1.22e-05	5.23e-07	5.5e-07	1.66e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-10	NWFA-1B_LP-DIR-T	NWFA-1B	5.1	220.5	-30.8	0	0	0	0	9	513	This study	shoemake 2024-10-18 09:20:54	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.3.7	9.96e-06	5.01e-07	7.19e-07	1.56e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-12	NWFA-1B_LP-DIR-T	NWFA-1B	6.9	222.7	-30.7	0	0	0	0	11	543	This study	shoemake 2024-10-28 17:16:37	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.3.7	9.76e-06	7.68e-07	8.83e-07	1.7e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-13	NWFA-1B_LP-DIR-T	NWFA-1B	6.5	220.7	-30.8	0	0	0	0	12	543	This study	shoemake 2024-10-29 11:09:35	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.3.7	9.79e-06	6.91e-07	8.56e-07	1.75e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-14	NWFA-1B_LP-DIR-T	NWFA-1B	7.2	223.1	-30.4	0	0	0	0	13	573	This study	shoemake 2024-11-06 15:26:06	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.3.7	9.94e-06	8.12e-07	9.47e-07	8.87e-08	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-15	NWFA-1B_LP-DIR-T	NWFA-1B	4.3	221.9	-30.7	0	0	0	0	14	603	This study	shoemake 2024-11-15 16:06:57	LT-T-Z:LP-DIR-T	g	15	u	8	273			pmagpy-4.3.7	9.85e-06	4.51e-07	5.66e-07	1.51e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-19	NWFA-1B_LP-DIR-T	NWFA-1B	4.4	222.3	-30.6	0	0	0	0	18	633	This study	shoemake 2024-11-22 21:04:03	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.3.7	9.89e-06	5.56e-07	5.06e-07	1.27e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-20	NWFA-1B_LP-DIR-T	NWFA-1B	2.9	221.5	-30.7	0	0	0	0	19	663	This study	shoemake 2024-11-25 07:34:26	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.3.7	9.87e-06	2.72e-07	3.77e-07	1.85e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-21	NWFA-1B_LP-DIR-T	NWFA-1B	4.1	220.0	-30.6	0	0	0	0	20	693	This study	shoemake 2024-11-26 21:57:50	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.3.7	9.83e-06	3.86e-07	5.6e-07	1.98e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-22	NWFA-1B_LP-DIR-T	NWFA-1B	2.8	216.1	-30.5	0	0	0	0	21	723	This study	shoemake 2024-12-05 05:00:54	LT-T-Z:LP-DIR-T	b	22	u	8	273			pmagpy-4.3.7	9.81e-06	2.35e-07	3.79e-07	1.83e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-23	NWFA-1B_LP-DIR-T	NWFA-1B	2.4	217.8	-30.7	0	0	0	0	22	723	This study	shoemake 2025-02-06 01:11:06	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.3.7	9.94e-06	3.08e-07	2.8e-07	1.06e-07	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-24	NWFA-1B_LP-DIR-T	NWFA-1B	2.6	215.7	-30.0	0	0	0	0	23	753	This study	shoemake 2025-04-09 10:14:07	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.3.7	3.1e-07	7.23e-09	1.23e-08	2.69e-09	NWFA-1	NWFA	NWFA
NWFA-1B_LP-DIR-T-25	NWFA-1B_LP-DIR-T	NWFA-1B	4.4	221.0	-27.7	0	0	0	0	24	783	This study	shoemake 2025-04-25 18:04:28	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.3.7	3.04e-07	1.52e-08	1.79e-08	3.34e-09	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-26	NWFA-1C_LP-DIR-T	NWFA-1C	1.4	230.8	-41.9	0	0	0	0	0	273	This study	shoemake 2024-07-01 12:13:40	LT-NO:LP-DIR-T	g	26	u	8	273			pmagpy-4.3.7	1.26e-05	2.23e-07	2.03e-07	1.31e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-27	NWFA-1C_LP-DIR-T	NWFA-1C	8.5	231.5	-39.7	0	0	0	0	1	77	This study	shoemake 2024-07-08 16:35:37	LT-LT-Z:LP-DIR-T	b	27	u	8	273			pmagpy-4.3.7	1.24e-05	1.46e-06	1.14e-06	1.36e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-28	NWFA-1C_LP-DIR-T	NWFA-1C	2.8	224.2	-39.4	0	0	0	0	2	77	This study	shoemake 2024-07-11 14:01:55	LT-LT-Z:LP-DIR-T	b	28	u	8	273			pmagpy-4.3.7	1.25e-05	4.6e-07	3.94e-07	1.68e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-29	NWFA-1C_LP-DIR-T	NWFA-1C	2.6	232.0	-39.1	0	0	0	0	3	343	This study	shoemake 2024-07-30 17:07:58	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.3.7	1.24e-05	4.33e-07	3.61e-07	4.9e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-30	NWFA-1C_LP-DIR-T	NWFA-1C	1.7	231.7	-37.3	0	0	0	0	4	373	This study	shoemake 2024-08-01 10:16:36	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.3.7	1.21e-05	2.9e-07	2.01e-07	6.86e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-31	NWFA-1C_LP-DIR-T	NWFA-1C	0.6	231.7	-37.3	0	0	0	0	5	403	This study	shoemake 2024-09-07 15:21:16	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.3.7	1.21e-05	9.55e-08	7.77e-08	6.95e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-32	NWFA-1C_LP-DIR-T	NWFA-1C	1.7	233.4	-37.1	0	0	0	0	6	433	This study	shoemake 2024-09-12 11:57:06	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.3.7	1.2e-05	2.69e-07	2.3e-07	6.74e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-33	NWFA-1C_LP-DIR-T	NWFA-1C	0.6	228.4	-34.5	0	0	0	0	7	463	This study	shoemake 2024-09-17 11:45:16	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.3.7	1.18e-05	9.47e-08	9.1e-08	6.42e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-34	NWFA-1C_LP-DIR-T	NWFA-1C	4.9	227.9	-34.5	0	0	0	0	8	483	This study	shoemake 2024-10-10 18:25:08	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.3.7	1.17e-05	7.4e-07	6.69e-07	6.71e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-35	NWFA-1C_LP-DIR-T	NWFA-1C	5.3	221.5	-30.8	0	0	0	0	9	513	This study	shoemake 2024-10-18 09:23:24	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.3.7	9.27e-06	5.38e-07	6.66e-07	7.96e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-36	NWFA-1C_LP-DIR-T	NWFA-1C	7.3	224.3	-30.4	0	0	0	0	10	543	This study	shoemake 2024-10-26 14:52:47	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-4.3.7	8.98e-06	8.38e-07	7.84e-07	1.23e-07	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-37	NWFA-1C_LP-DIR-T	NWFA-1C	1.7	222.8	-30.4	0	0	0	0	11	573	This study	shoemake 2024-11-06 15:28:35	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.3.7	9.13e-06	1.95e-07	2e-07	4.1e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-38	NWFA-1C_LP-DIR-T	NWFA-1C	1.5	223.3	-30.7	0	0	0	0	12	603	This study	shoemake 2024-11-15 16:09:25	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.3.7	9.01e-06	1.7e-07	1.62e-07	9.73e-08	NWFA-1	NWFA	NWFA
NWFA-1C_LP-DIR-T-39	NWFA-1C_LP-DIR-T	NWFA-1C	1.3	222.3	-30.7	0	0	0	0	13	633	This study	shoemake 2024-11-18 15:26:13	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.3.7	9.03e-06	1.34e-07	1.43e-07	8.83e-08	NWFA-1	NWFA	NWFA
