tab	measurements																									
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.7	234.2	-42.7	NWFA-1B_LP-DIR-T	shoemake 2024-07-01 12:11:35	1.32E-05	2.83E-07	2.00E-07	2.30E-07	8	273	NWFA-1B_LP-DIR-T-1	LT-NO:LP-DIR-T	g	1	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	0	273
	This study		28	222.1	-39.2	NWFA-1B_LP-DIR-T	shoemake 2024-07-08 16:33:29	6.56E-06	4.03E-06	3.65E-06	4.43E-06	8	273	NWFA-1B_LP-DIR-T-2	LT-LT-Z:LP-DIR-T	g	2	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	1	77
	This study		5.4	228.3	-40.2	NWFA-1B_LP-DIR-T	shoemake 2024-07-11 13:59:47	1.30E-05	1.02E-06	6.89E-07	2.17E-07	8	273	NWFA-1B_LP-DIR-T-3	LT-LT-Z:LP-DIR-T	g	3	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	2	77
	This study		0.8	229.1	-39.8	NWFA-1B_LP-DIR-T	shoemake 2024-07-30 17:05:04	1.30E-05	1.01E-07	1.05E-07	1.17E-07	8	273	NWFA-1B_LP-DIR-T-4	LT-T-Z:LP-DIR-T	g	4	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	3	343
	This study		1.4	228.9	-37.6	NWFA-1B_LP-DIR-T	shoemake 2024-08-01 10:14:10	1.27E-05	2.60E-07	1.27E-07	1.38E-07	8	273	NWFA-1B_LP-DIR-T-5	LT-T-Z:LP-DIR-T	g	5	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	4	373
	This study		2.1	228.8	-37.7	NWFA-1B_LP-DIR-T	shoemake 2024-09-07 15:18:49	1.27E-05	3.01E-07	3.50E-07	1.25E-07	8	273	NWFA-1B_LP-DIR-T-6	LT-T-Z:LP-DIR-T	g	6	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	5	403
	This study		2.9	230.4	-37.6	NWFA-1B_LP-DIR-T	shoemake 2024-09-12 11:54:41	1.26E-05	4.36E-07	4.68E-07	1.40E-07	8	273	NWFA-1B_LP-DIR-T-7	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	6	433
	This study		2.4	229.2	-34.8	NWFA-1B_LP-DIR-T	shoemake 2024-09-17 11:42:50	1.24E-05	3.16E-07	3.80E-07	1.52E-07	8	273	NWFA-1B_LP-DIR-T-8	LT-T-Z:LP-DIR-T	g	8	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	7	463
	This study		3.6	229.5	-34.4	NWFA-1B_LP-DIR-T	shoemake 2024-10-10 18:22:41	1.22E-05	5.23E-07	5.50E-07	1.66E-07	8	273	NWFA-1B_LP-DIR-T-9	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	8	483
	This study		5.1	220.5	-30.8	NWFA-1B_LP-DIR-T	shoemake 2024-10-18 09:20:54	9.96E-06	5.01E-07	7.19E-07	1.56E-07	8	273	NWFA-1B_LP-DIR-T-10	LT-T-Z:LP-DIR-T	g	10	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	9	513
	This study		17.3	210	-31.6	NWFA-1B_LP-DIR-T	shoemake 2024-10-26 14:48:43	9.51E-06	1.24E-06	2.69E-06	1.64E-07	8	273	NWFA-1B_LP-DIR-T-11	LT-T-Z:LP-DIR-T	g	11	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	10	543
	This study		6.9	222.7	-30.7	NWFA-1B_LP-DIR-T	shoemake 2024-10-28 17:16:37	9.76E-06	7.68E-07	8.83E-07	1.70E-07	8	273	NWFA-1B_LP-DIR-T-12	LT-T-Z:LP-DIR-T	g	12	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	11	543
	This study		6.5	220.7	-30.8	NWFA-1B_LP-DIR-T	shoemake 2024-10-29 11:09:35	9.79E-06	6.91E-07	8.56E-07	1.75E-07	8	273	NWFA-1B_LP-DIR-T-13	LT-T-Z:LP-DIR-T	g	13	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	12	543
	This study		7.2	223.1	-30.4	NWFA-1B_LP-DIR-T	shoemake 2024-11-06 15:26:06	9.94E-06	8.12E-07	9.47E-07	8.87E-08	8	273	NWFA-1B_LP-DIR-T-14	LT-T-Z:LP-DIR-T	g	14	pmagpy-4.3.7	NWFA-1B	u	0	0	0	0	13	573
