tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	NWF-B	NWF-A-	NWF	NWF-A-1B	NWF-A-1B_LP-DIR-T	shoemake 2025-04-25 18:04:28	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	70.4	343.9	l	g	-54.7	23.4	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1B	NWF-A-1B_LP-DIR-T	shoemake 2025-04-25 18:04:28	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.1	220.7	l	g	-30.7	4.6	12	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1B	NWF-A-1B_LP-DIR-T	shoemake 2025-04-25 18:04:28	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	70.4	355.8	l	g	-63.7	23.4	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1B	NWF-A-1B_LP-DIR-T	shoemake 2025-04-25 18:04:28	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.1	10.7	l	g	17.2	4.6	12	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1C	NWF-A-1C_LP-DIR-T	shoemake 2025-04-25 18:06:54	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	71.4	137.5	l	g	-34.3	31.9	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1C	NWF-A-1C_LP-DIR-T	shoemake 2025-04-25 18:06:54	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.1	224.5	l	g	-30.7	4.1	10	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1C	NWF-A-1C_LP-DIR-T	shoemake 2025-04-25 18:06:54	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	71.4	299.7	l	g	13.4	31.9	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1C	NWF-A-1C_LP-DIR-T	shoemake 2025-04-25 18:06:54	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.1	13.4	l	g	15.2	4.1	10	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1D	NWF-A-1D_LP-DIR-T	shoemake 2025-05-01 16:33:46	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	74.3	326.0	l	g	-35.8	30.5	6	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1D	NWF-A-1D_LP-DIR-T	shoemake 2025-05-01 16:33:46	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.0	221.8	l	g	-30.5	2.4	10	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1D	NWF-A-1D_LP-DIR-T	shoemake 2025-05-01 16:33:46	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	74.3	45.8	l	g	-61.3	30.5	6	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1D	NWF-A-1D_LP-DIR-T	shoemake 2025-05-01 16:33:46	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.0	11.5	l	g	16.8	2.4	10	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1E	NWF-A-1E_LP-DIR-T	shoemake 2025-05-01 16:36:05	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	62.2	320.2	l	g	-52.4	28.6	7	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1E	NWF-A-1E_LP-DIR-T	shoemake 2025-05-01 16:36:05	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.1	221.4	l	g	-30.2	3.7	12	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1E	NWF-A-1E_LP-DIR-T	shoemake 2025-05-01 16:36:05	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	62.2	16.4	l	g	-54.1	28.6	7	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1E	NWF-A-1E_LP-DIR-T	shoemake 2025-05-01 16:36:05	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.1	11.4	l	g	17.3	3.7	12	0
This study	NWF-B	NWF-A-	NWF	NWF-A-1F	NWF-A-1F_LP-DIR-T	shoemake 2025-04-25 18:14:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	433	273	K		2	lt	u	49.5	150.6	l	g	-63.9	32.0	7	-1
This study	NWF-B	NWF-A-	NWF	NWF-A-1F	NWF-A-1F_LP-DIR-T	shoemake 2025-04-25 18:14:11	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-4.3.7: demag_gui	783	513	K		2	mt	u	0.6	218.5	l	g	-30.2	6.9	12	-1
