tab	samples
sample	site	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	height	geologic_classes	geologic_types	lithologies	analysts	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	location	tilt_correction
NWFA-1	NWFA												518						156.1	0.0	0.0	90.0	-59.0					
NWFA-1A	NWFA												518						156.1	0.0	0.0	90.0	-59.0					
NWFA-1B	NWFA	NWFA-1B		lt	329.5	-32.9		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1B	NWFA	NWFA-1B		mt	9.2	19.1		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1C	NWFA	NWFA-1C		mt	15.0	15.0		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1C	NWFA	NWFA-1C		lt	16.3	-57.6		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1D	NWFA	NWFA-1D		lt	11.3	-10.1		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1D	NWFA	NWFA-1D		mt	14.8	15.3		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1E	NWFA	NWFA-1E		lt	11.7	-49.7		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1E	NWFA	NWFA-1E		mt	13.2	17.0		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1F	NWFA	NWFA-1F		lt	341.3	-22.0		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1F	NWFA	NWFA-1F		mt	12.9	16.9		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1G	NWFA	NWFA-1G		lt	25.7	-42.8		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-1G	NWFA	NWFA-1G		mt	9.7	19.8		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
