tab	sites
site	location	samples	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
NWFA	NWFA	NWFA-1B:NWFA-1C:NWFA-1D:NWFA-1E:NWFA-1F:NWFA-1G:NWFA-1H:NWFA-2B:NWFA-2C:NWFA-2D:NWFA-3B:NWFA-4B:NWFA-4C:NWFA-5B:NWFA-5C	NWFA-1B:NWFA-1C:NWFA-1D:NWFA-1E:NWFA-1F:NWFA-1G:NWFA-1H:NWFA-2B:NWFA-2C:NWFA-2D:NWFA-3B:NWFA-4B:NWFA-4C:NWFA-5B:NWFA-5C	   35.8 	lt	  337.3 	   -1.4 	     2 	15	15 	15 	0 	n	8.3628 	0	15.6	106.1		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   35.8 	   17.9 	   62.3 	  342.1 
NWFA	NWFA	NWFA-1B:NWFA-1C:NWFA-1D:NWFA-1E:NWFA-1F:NWFA-1G:NWFA-1H:NWFA-2B:NWFA-2C:NWFA-2D:NWFA-3B:NWFA-4B:NWFA-4C:NWFA-5B:NWFA-5C	NWFA-1B:NWFA-1C:NWFA-1D:NWFA-1E:NWFA-1F:NWFA-1G:NWFA-1H:NWFA-2B:NWFA-2C:NWFA-2D:NWFA-3B:NWFA-4B:NWFA-4C:NWFA-5B:NWFA-5C	    4.2 	mt	   10.1 	   21.3 	    84 	15	15 	15 	0 	n	14.8338 	0	15.6	106.1		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    4.4 	    2.3 	   79.2 	  219.8 
NWFB	NWFB	NWFB-1B:NWFB-1C:NWFB-1D:NWFB-1E:NWFB-1F:NWFB-1G:NWFB-1H:NWFB-2B:NWFB-2C:NWFB-2D:NWFB-2E:NWFB-2F:NWFB-2G:NWFB-3B:NWFB-3C:NWFB-3D:NWFB-3E:NWFB-3F:NWFB-3G:NWFB-3H	NWFB-1B:NWFB-1C:NWFB-1D:NWFB-1E:NWFB-1F:NWFB-1G:NWFB-1H:NWFB-2B:NWFB-2C:NWFB-2D:NWFB-2E:NWFB-2F:NWFB-2G:NWFB-3B:NWFB-3C:NWFB-3D:NWFB-3E:NWFB-3F:NWFB-3G:NWFB-3H	   75.5 	lt	  291.2 	   -3.2 	     1 	20	20 	20 	0 	t	3.7142 	0	15.6	106.0		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   75.6 	   37.8 	   19.9 	    8.4 
NWFB	NWFB	NWFB-1B:NWFB-1C:NWFB-1D:NWFB-1E:NWFB-1F:NWFB-1G:NWFB-1H:NWFB-2B:NWFB-2C:NWFB-2D:NWFB-2E:NWFB-2F:NWFB-2G:NWFB-3B:NWFB-3C:NWFB-3D:NWFB-3E:NWFB-3F:NWFB-3G:NWFB-3H	NWFB-1B:NWFB-1C:NWFB-1D:NWFB-1E:NWFB-1F:NWFB-1G:NWFB-1H:NWFB-2B:NWFB-2C:NWFB-2D:NWFB-2E:NWFB-2F:NWFB-2G:NWFB-3B:NWFB-3C:NWFB-3D:NWFB-3E:NWFB-3F:NWFB-3G:NWFB-3H	   16.9 	mt	   81.8 	  -60.9 	     5 	20	20 	20 	0 	t	15.9455 	0	15.6	106.0		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   25.9 	   19.8 	   -4.4 	  238.4 
NWFC	NWFC	NWFC-1B:NWFC-1C:NWFC-2B:NWFC-2C:NWFC-2D:NWFC-2E:NWFC-2F:NWFC-3B:NWFC-3C:NWFC-3D:NWFC-4B:NWFC-4C:NWFC-4D:NWFC-4E:NWFC-5B:NWFC-5C:NWFC-5D:NWFC-5E:NWFC-6B:NWFC-6C:NWFC-6D:NWFC-6E:NWFC-7B:NWFC-7C:NWFC-7D:NWFC-7E:NWFC-7F:NWFC-8B:NWFC-8C:NWFC-8D:NWFC-8E:NWFC-8F:NWFC-8G	NWFC-1B:NWFC-1C:NWFC-2B:NWFC-2C:NWFC-2D:NWFC-2E:NWFC-2F:NWFC-3B:NWFC-3C:NWFC-3D:NWFC-4B:NWFC-4C:NWFC-4D:NWFC-4E:NWFC-5B:NWFC-5C:NWFC-5D:NWFC-5E:NWFC-6B:NWFC-6C:NWFC-6D:NWFC-6E:NWFC-7B:NWFC-7C:NWFC-7D:NWFC-7E:NWFC-7F:NWFC-8B:NWFC-8C:NWFC-8D:NWFC-8E:NWFC-8F:NWFC-8G	   75.6 	lt	  236.7 	   81.0 	     1 	33	33 	33 	0 	t	3.8092 	0	15.4	106.1		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	  145.9 	  140.9 	    5.4 	   91.4 
NWFC	NWFC	NWFC-1B:NWFC-1C:NWFC-2B:NWFC-2C:NWFC-2D:NWFC-2E:NWFC-2F:NWFC-3B:NWFC-3C:NWFC-3D:NWFC-4B:NWFC-4C:NWFC-4D:NWFC-4E:NWFC-5B:NWFC-5C:NWFC-5D:NWFC-5E:NWFC-6B:NWFC-6C:NWFC-6D:NWFC-6E:NWFC-7B:NWFC-7C:NWFC-7D:NWFC-7E:NWFC-7F:NWFC-8B:NWFC-8C:NWFC-8D:NWFC-8E:NWFC-8F:NWFC-8G	NWFC-1B:NWFC-1C:NWFC-2B:NWFC-2C:NWFC-2D:NWFC-2E:NWFC-2F:NWFC-3B:NWFC-3C:NWFC-3D:NWFC-4B:NWFC-4C:NWFC-4D:NWFC-4E:NWFC-5B:NWFC-5C:NWFC-5D:NWFC-5E:NWFC-6B:NWFC-6C:NWFC-6D:NWFC-6E:NWFC-7B:NWFC-7C:NWFC-7D:NWFC-7E:NWFC-7F:NWFC-8B:NWFC-8C:NWFC-8D:NWFC-8E:NWFC-8F:NWFC-8G	   27.6 	mt	   11.5 	   25.1 	     2 	33	33 	33 	0 	n	15.2823 	0	15.4	106.1		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   29.7 	   16.0 	   78.6 	  205.9 
PKQA	PKQA	PKQA-0A:PKQA-0B:PKQA-0C:PKQA-0E:PKQA-0F:PKQA-1B:PKQA-1C:PKQA-1D:PKQA-2B:PKQA-2C:PKQA-2E:PKQA-2F:PKQA-2G:PKQA-2H:PKQA-2I:PKQA-3B:PKQA-3C:PKQA-3D:PKQA-3E:PKQA-3F:PKQA-4B:PKQA-4C:PKQA-4D:PKQA-4E:PKQA-4F:PKQA-4G:PKQA-5B:PKQA-5C:PKQA-5D:PKQA-5E:PKQA-5F:PKQA-5G:PKQA-5H:PKQA-5I:PKQA-5J:PKQA-5K:PKQA-5L:PKQA-5M:PKQA-5N:PKQA-5O:PKQA-5P:PKQA-6B:PKQA-6C:PKQA-6D:PKQA-6E:PKQA-6F:PKQA-6G:PKQA-6H:PKQA-6I:PKQA-6J:PKQA-6K:PKQA-7B:PKQA-7C:PKQA-7D:PKQA-7E:PKQA-7F:PKQA-7G:PKQA-7H:PKQA-7I:PKQA-7J:PKQA-7K:PKQA-8B:PKQA-8C:PKQA-8D:PKQA-8E:PKQA-8F:PKQA-8G:PKQA-8H:PKQA-8I:PKQA-8J:PKQA-8K:PKQA-8L:PKQA-9A:PKQA-9B:PKQA-9C:PKQA-9D:PKQA-9E:PKQA-9F:PKQA-9G	PKQA-0A:PKQA-0B:PKQA-0C:PKQA-0E:PKQA-0F:PKQA-1B:PKQA-1C:PKQA-1D:PKQA-2B:PKQA-2C:PKQA-2E:PKQA-2F:PKQA-2G:PKQA-2H:PKQA-2I:PKQA-3B:PKQA-3C:PKQA-3D:PKQA-3E:PKQA-3F:PKQA-4B:PKQA-4C:PKQA-4D:PKQA-4E:PKQA-4F:PKQA-4G:PKQA-5B:PKQA-5C:PKQA-5D:PKQA-5E:PKQA-5F:PKQA-5G:PKQA-5H:PKQA-5I:PKQA-5J:PKQA-5K:PKQA-5L:PKQA-5M:PKQA-5N:PKQA-5O:PKQA-5P:PKQA-6B:PKQA-6C:PKQA-6D:PKQA-6E:PKQA-6F:PKQA-6G:PKQA-6H:PKQA-6I:PKQA-6J:PKQA-6K:PKQA-7B:PKQA-7C:PKQA-7D:PKQA-7E:PKQA-7F:PKQA-7G:PKQA-7H:PKQA-7I:PKQA-7J:PKQA-7K:PKQA-8B:PKQA-8C:PKQA-8D:PKQA-8E:PKQA-8F:PKQA-8G:PKQA-8H:PKQA-8I:PKQA-8J:PKQA-8K:PKQA-8L:PKQA-9A:PKQA-9B:PKQA-9C:PKQA-9D:PKQA-9E:PKQA-9F:PKQA-9G	    8.0 	lt	  128.6 	   49.9 	     5 	79	79 	79 	0 	t	63.3215 	0	15.1	105.8		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   10.7 	    7.1 	  -22.6 	  152.5 
PKQA	PKQA	PKQA-0D:PKQA-0E:PKQA-0F	PKQA-0D:PKQA-0E:PKQA-0F	    5.3 	lt2	  179.6 	   49.6 	   551 	3	3 	3 	0 	r	2.9964 	0	15.1	105.8		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	    7.1 	    4.7 	  -44.5 	  106.3 
PKQA	PKQA	PKQA-0A:PKQA-0B:PKQA-0C:PKQA-0D:PKQA-0E:PKQA-0F:PKQA-1B:PKQA-1C:PKQA-1D:PKQA-2B:PKQA-2C:PKQA-2D:PKQA-2E:PKQA-2F:PKQA-2G:PKQA-2H:PKQA-2I:PKQA-2J:PKQA-2K:PKQA-3B:PKQA-3C:PKQA-3D:PKQA-3E:PKQA-3F:PKQA-4B:PKQA-4C:PKQA-4D:PKQA-4E:PKQA-4F:PKQA-4G:PKQA-5B:PKQA-5C:PKQA-5D:PKQA-5E:PKQA-5F:PKQA-5G:PKQA-5H:PKQA-5I:PKQA-5J:PKQA-5K:PKQA-5L:PKQA-5M:PKQA-5N:PKQA-5O:PKQA-5P:PKQA-6B:PKQA-6C:PKQA-6D:PKQA-6E:PKQA-6F:PKQA-6G:PKQA-6H:PKQA-6I:PKQA-6J:PKQA-6K:PKQA-7B:PKQA-7C:PKQA-7D:PKQA-7E:PKQA-7F:PKQA-7G:PKQA-7H:PKQA-7I:PKQA-7J:PKQA-7K:PKQA-8B:PKQA-8C:PKQA-8D:PKQA-8E:PKQA-8F:PKQA-8G:PKQA-8H:PKQA-8I:PKQA-8J:PKQA-8K:PKQA-8L:PKQA-9A:PKQA-9B:PKQA-9C:PKQA-9D:PKQA-9E:PKQA-9F:PKQA-9G	PKQA-0A:PKQA-0B:PKQA-0C:PKQA-0D:PKQA-0E:PKQA-0F:PKQA-1B:PKQA-1C:PKQA-1D:PKQA-2B:PKQA-2C:PKQA-2D:PKQA-2E:PKQA-2F:PKQA-2G:PKQA-2H:PKQA-2I:PKQA-2J:PKQA-2K:PKQA-3B:PKQA-3C:PKQA-3D:PKQA-3E:PKQA-3F:PKQA-4B:PKQA-4C:PKQA-4D:PKQA-4E:PKQA-4F:PKQA-4G:PKQA-5B:PKQA-5C:PKQA-5D:PKQA-5E:PKQA-5F:PKQA-5G:PKQA-5H:PKQA-5I:PKQA-5J:PKQA-5K:PKQA-5L:PKQA-5M:PKQA-5N:PKQA-5O:PKQA-5P:PKQA-6B:PKQA-6C:PKQA-6D:PKQA-6E:PKQA-6F:PKQA-6G:PKQA-6H:PKQA-6I:PKQA-6J:PKQA-6K:PKQA-7B:PKQA-7C:PKQA-7D:PKQA-7E:PKQA-7F:PKQA-7G:PKQA-7H:PKQA-7I:PKQA-7J:PKQA-7K:PKQA-8B:PKQA-8C:PKQA-8D:PKQA-8E:PKQA-8F:PKQA-8G:PKQA-8H:PKQA-8I:PKQA-8J:PKQA-8K:PKQA-8L:PKQA-9A:PKQA-9B:PKQA-9C:PKQA-9D:PKQA-9E:PKQA-9F:PKQA-9G	    9.8 	mt	  147.2 	   50.0 	     3 	83	83 	83 	0 	t	59.5556 	0	15.1	105.8		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	   13.1 	    8.8 	  -34.3 	  140.1 
PKSB	PKSB	PKSB-1	PKSB-1B:PKSB-1C:PKSB-1D:PKSB-1E:PKSB-1F:PKSB-1G:PKSB-1H		lt	  188.1 	   -4.3 		1	1	1	0	r		0	15.2	106.2		ACCEPT	pmagpy-4.3.7: demag_gui.v.3.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  180.4 	   90.4 	  -74.7 	   73.9 
