tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NWFA-1A		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1A		NWFA-1A																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1B	NWFA-1B_LP-DIR-T	NWFA-1B		mt	9.2	19.1	2	4	0	0.1	1.1	783	723	K		shoemake 2025-04-25 18:04:28	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1B	NWFA-1B_LP-DIR-T	NWFA-1B		lt	329.5	-32.9	2	6	0	58.5	12.2	483	343	K		shoemake 2025-04-25 18:04:28	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1B		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1B		NWFA-1B																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1C		NWFA-1C																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1C		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1C	NWFA-1C_LP-DIR-T	NWFA-1C		mt	15.0	15.0	2	7	0	0.1	5.5	753	633	K		shoemake 2025-04-25 18:06:54	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1C	NWFA-1C_LP-DIR-T	NWFA-1C		lt	16.3	-57.6	2	6	0	64.8	17.8	483	343	K		shoemake 2025-04-25 18:06:54	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1D		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1D		NWFA-1D																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1D	NWFA-1D_LP-DIR-T	NWFA-1D		lt	11.3	-10.1	2	13	0	22.9	11.9	693	343	K		shoemake 2025-05-01 16:33:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1D	NWFA-1D_LP-DIR-T	NWFA-1D		mt	14.8	15.3	2	4	0	0.1	3.3	783	723	K		shoemake 2025-05-01 16:33:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1E		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1E		NWFA-1E																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1E	NWFA-1E_LP-DIR-T	NWFA-1E		lt	11.7	-49.7	2	9	0	58.6	21.6	483	273	K		shoemake 2025-05-01 16:36:05	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1E	NWFA-1E_LP-DIR-T	NWFA-1E		mt	13.2	17.0	2	11	0	0.0	3.0	783	543	K		shoemake 2025-05-01 16:36:05	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1F	NWFA-1F_LP-DIR-T	NWFA-1F		mt	12.9	16.9	2	5	0	0.1	5.7	783	693	K		shoemake 2025-04-25 18:14:11	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1F		NWFA-1F																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1F		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1F	NWFA-1F_LP-DIR-T	NWFA-1F		lt	341.3	-22.0	2	9	0	43.4	31.8	483	273	K		shoemake 2025-04-25 18:14:11	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1G	NWFA-1G_LP-DIR-T	NWFA-1G		mt	9.7	19.8	2	4	0	0.1	1.1	783	723	K		shoemake 2025-04-25 18:16:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1G	NWFA-1G_LP-DIR-T	NWFA-1G		lt	25.7	-42.8	2	8	0	56.2	26.8	483	273	K		shoemake 2025-04-25 18:16:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1G		NWFA-1G																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1G		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1H		NWFA-1H																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1H	NWFA-1H_LP-DIR-T	NWFA-1H		lt	39.3	-40.9	2	8	0	58.7	26.8	483	273	K		shoemake 2025-05-01 16:38:30	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1H	NWFA-1H_LP-DIR-T	NWFA-1H		mt	12.4	17.8	2	5	0	0.8	4.3	753	663	K		shoemake 2025-05-01 16:38:30	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1H		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1I		NWFA-1I																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1I		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2A		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2A		NWFA-2A																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2B	NWFA-2B_LP-DIR-T	NWFA-2B		mt	4.2	28.7	2	3	0	0.1	2.4	753	723	K		shoemake 2025-04-25 18:21:39	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2B		NWFA-2B																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2B		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2B	NWFA-2B_LP-DIR-T	NWFA-2B		lt	255.8	22.8	2	9	0	79.1	23.4	483	273	K		shoemake 2025-04-25 18:21:39	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2C		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2C	NWFA-2C_LP-DIR-T	NWFA-2C		lt	259.3	6.1	2	7	0	83.5	5.0	463	77	K		shoemake 2025-04-25 18:24:07	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2C		NWFA-2C																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2C	NWFA-2C_LP-DIR-T	NWFA-2C		mt	2.8	28.5	2	4	0	0.3	0.5	783	723	K		shoemake 2025-04-25 18:24:07	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2D	NWFA-2D_LP-DIR-T	NWFA-2D		mt	7.5	27.6	2	5	0	0.6	4.2	783	693	K		shoemake 2025-04-25 18:26:34	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2D	NWFA-2D_LP-DIR-T	NWFA-2D		lt	258.7	3.7	2	7	0	85.3	10.2	463	77	K		shoemake 2025-04-25 18:26:34	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2D		NWFA-2D																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2D		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2E		NWFA-2E																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2E		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3A		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3A		NWFA-3A																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3B	NWFA-3B_LP-DIR-T	NWFA-3B		lt	12.5	50.8	2	5	0	27.5	8.9	403	77	K		shoemake 2025-04-25 18:28:58	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-3B	NWFA-3B_LP-DIR-T	NWFA-3B		mt	30.0	32.3	2	5	0	0.6	5.4	783	693	K		shoemake 2025-04-25 18:28:58	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-3B		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3B		NWFA-3B																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3C		NWFA-3C																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3C		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4A		NWFA-4A																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4A		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4B		NWFA-4B																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4B	NWFA-4B_LP-DIR-T	NWFA-4B		lt	310.4	42.3	2	5	0	27.5	9.9	463	343	K		shoemake 2025-05-01 16:40:56	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4B		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4B	NWFA-4B_LP-DIR-T	NWFA-4B		mt	358.5	24.3	2	4	0	1.2	3.1	783	723	K		shoemake 2025-05-01 16:40:56	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4C	NWFA-4C_LP-DIR-T	NWFA-4C		mt	1.5	23.0	2	5	0	0.7	1.3	783	693	K		shoemake 2025-05-01 16:43:16	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4C	NWFA-4C_LP-DIR-T	NWFA-4C		lt	330.6	46.5	2	9	0	15.8	6.0	483	273	K		shoemake 2025-05-01 16:43:16	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4C		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4C		NWFA-4C																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5A		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5A		NWFA-5A																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5B	NWFA-5B_LP-DIR-T	NWFA-5B		mt	9.7	15.7	2	5	0	1.4	2.2	753	663	K		shoemake 2025-04-25 18:36:15	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
