specimen,old_mag_core_strike,old_core_dip,old_bed_strike,old_bed_dip,new_mag_core_strike,new_core_dip,new_bed_strike,new_bed_dip,strike_correction,dip_correction,bed_strike_correction,bed_dip_correction
PKSF-0A,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0B,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0C,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0D,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0E,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0F,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0G,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0H,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0I,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0J,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0K,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0L,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0M,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-0N,77.5,32.0,0.0,0.0,82.4,32.0,0.0,0.0,4.900000000000006,0.0,0.0,0.0
PKSF-1A,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1B,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1C,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1D,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1E,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1F,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1G,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1H,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1I,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1J,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1K,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1L,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-1M,160.0,55.0,0.0,0.0,169.4,55.0,0.0,0.0,9.400000000000006,0.0,0.0,0.0
PKSF-2A,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2B,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2C,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2D,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2E,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2F,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2G,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2H,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2I,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2J,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2K,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-2L,83.5,64.0,0.0,0.0,82.0,64.0,0.0,0.0,-1.5,0.0,0.0,0.0
PKSF-3A,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3B,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3C,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3D,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3E,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3F,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3G,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3H,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3I,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3J,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3K,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3L,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-3M,78.0,73.0,0.0,0.0,83.3,73.0,0.0,0.0,5.299999999999997,0.0,0.0,0.0
PKSF-4A,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4B,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4C,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4D,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4E,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4F,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4G,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4H,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4I,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4J,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4K,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-4L,59.0,48.0,0.0,0.0,121.0,48.0,0.0,0.0,62.0,0.0,0.0,0.0
PKSF-5A,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5B,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5C,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5D,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5E,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5F,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5G,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5H,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5I,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5J,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5K,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5L,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-5M,87.0,36.0,0.0,0.0,81.3,36.0,0.0,0.0,-5.700000000000003,0.0,0.0,0.0
PKSF-6A,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-6B,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-6C,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-6D,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-6E,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-6F,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-6G,37.5,38.0,0.0,0.0,30.6,38.0,0.0,0.0,-6.899999999999999,0.0,0.0,0.0
PKSF-7A,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7B,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7C,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7D,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7E,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7F,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7G,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7H,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7I,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-7J,123.5,36.0,0.0,0.0,122.8,36.0,0.0,0.0,-0.7000000000000028,0.0,0.0,0.0
PKSF-8A,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8B,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8C,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8D,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8E,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8F,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8G,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-8H,51.0,28.0,0.0,0.0,49.0,28.0,0.0,0.0,-2.0,0.0,0.0,0.0
PKSF-9A,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9B,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9C,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9D,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9E,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9F,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9G,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9H,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9I,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
PKSF-9J,54.0,28.0,0.0,0.0,53.0,28.0,0.0,0.0,-1.0,0.0,0.0,0.0
