,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,PKQA-,,,,,,,,,,,,,,,,,,,,,
site_name,conglomerate test first site - not a block - Core 1 and 2 are together. Core 3 and 4 are together. Core 5 and 6 are together. Core 7 8 9 and 0 are together.,,,,,,,,,,,,,,,,,,,,,
site_lat,15.1,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,105.85,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,137.7696,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
0,mag compass orientation (IGRF corrected),0,312,76,0,0,yes,nan,7,2024,3,12,1,1,1,nan,nan,[np.float64(358.7070448414808); np.float64(19.461317205697974); np.float64(43144.972174496834)],-1.292955159,insufficient data,310.7,-1.3
1,sun compass orientation,0,340,72,0,0,yes,340,7,2024,3,12,12,3,1,nan,337.5,[np.float64(358.7069726160076); np.float64(19.461467944853478); np.float64(43145.03635175358)],-1.293027384,-2.5,337.5,-1.3
2,sun compass orientation,0,305,72,0,0,yes,301,7,2024,3,12,12,11,1,nan,304.9,[np.float64(358.70697174319275); np.float64(19.461469766471755); np.float64(43145.037127311756)],-1.293028257,-0.1,304.9,-1.3
3,mag compass orientation (IGRF corrected),0,292,49,0,0,yes,nan,7,2024,3,12,10,45,1,nan,nan,[np.float64(358.70698112595346); np.float64(19.461450184071413); np.float64(43145.028790064156)],-1.293018874,insufficient data,290.7,-1.3
4,sun compass orientation,0,307,42,0,0,yes,359,7,2024,3,12,10,48,1,nan,310.4,[np.float64(358.7069807986478); np.float64(19.46145086717855); np.float64(43145.029080898275)],-1.293019201,3.4,310.4,-1.3
5,sun compass orientation,0,278,49,0,0,yes,316,7,2024,3,12,11,14,1,nan,279.4,[np.float64(358.7069779619991); np.float64(19.461456787439886); np.float64(43145.03160146093)],-1.293022038,1.4,279.4,-1.3
6,sun compass orientation,0,283,54,0,0,yes,311,7,2024,3,12,11,25,1,nan,280.7,[np.float64(358.70697676187854); np.float64(19.461459292165614); np.float64(43145.032667853)],-1.293023238,-2.3,280.7,-1.3
7,sun compass orientation,0,359,57,0,0,yes,333,7,2024,3,12,12,36,1,nan,355.9,[np.float64(358.7069690156463); np.float64(19.461475459028506); np.float64(43145.03955093136)],-1.293030984,-3.1,355.9,-1.3
8,sun compass orientation,0,350,50,0,0,yes,314,7,2024,3,12,12,38,1,nan,338.3,[np.float64(358.7069687974425); np.float64(19.461475914433016); np.float64(43145.03974482096)],-1.293031203,-11.7,338.3,-1.3
9,sun compass orientation,0,349,56.5,0,0,yes,316,7,2024,3,12,12,39,1,nan,341,[np.float64(358.7069686883407); np.float64(19.461476142135282); np.float64(43145.03984176573)],-1.293031312,-8,341,-1.3
