,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,PKSJ-,,,,,,,,,,,,,,,,,,,,,
site_name,insitu flow 601 ka - not block sample,,,,,,,,,,,,,,,,,,,,,
site_lat,15.24312,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,106.26,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,1237.183,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1,mag compass orientation (IGRF corrected),601,272.5,13.0,0,0.0,yes,nan,7.0,2024.0,3.0,15.0,14.0,57.0,1.0,nan,nan,[np.float64(358.65637804302565); np.float64(19.780439743801022); np.float64(43141.79573667064)],-1.3436219569743457,insufficient data,271.2,-1.3
2,mag compass orientation (IGRF corrected),601,82,16.0,0,0.0,yes,nan,7.0,2024.0,3.0,15.0,15.0,1.0,1.0,nan,nan,[np.float64(358.656377595332); np.float64(19.78044064375259); np.float64(43141.79612208787)],-1.3436224046679968,insufficient data,80.7,-1.3
3,mag compass orientation (IGRF corrected),601,50,11.5,0,0.0,yes,nan,7.0,2024.0,3.0,15.0,15.0,4.0,1.0,nan,nan,[np.float64(358.6563772595618); np.float64(19.780441318716225); np.float64(43141.796411150775)],-1.3436227404382066,insufficient data,48.7,-1.3
