tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
PKSH-1A	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1B	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1C	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1D	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1E	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1F	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1G	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1H	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1I	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1J	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1K	PKSH-1	NA	This study	LP-NOMAG		
PKSH-1L	PKSH-1	NA	This study	LP-NOMAG		
PKSH-2A	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2B	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2C	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2D	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2E	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2F	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2G	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2H	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2I	PKSH-2	NA	This study	LP-NOMAG		
PKSH-2J	PKSH-2	NA	This study	LP-NOMAG		
PKSH-3A	PKSH-3	NA	This study	LP-NOMAG		
PKSH-3B	PKSH-3	NA	This study	LP-NOMAG		
PKSH-3C	PKSH-3	NA	This study	LP-NOMAG		
PKSH-3D	PKSH-3	NA	This study	LP-NOMAG		
PKSH-3E	PKSH-3	NA	This study	LP-NOMAG		
PKSH-3F	PKSH-3	NA	This study	LP-NOMAG		
PKSH-3G	PKSH-3	NA	This study	LP-NOMAG		
