tab	samples
sample	site	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	height	geologic_classes	geologic_types	lithologies	analysts	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	location	tilt_correction
NWFA-1	NWFA	NWFA-1B:NWFA-1C:NWFA-1D:NWFA-1E:NWFA-1F:NWFA-1G:NWFA-1H	   19.7 	lt	    6.3 	  -38.9 	    10 	7 	7 	0 	6.4176 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-1	NWFA	NWFA-1B:NWFA-1C:NWFA-1D:NWFA-1E:NWFA-1F:NWFA-1G:NWFA-1H	    2.3 	mt	   12.7 	   17.1 	   718 	7 	7 	0 	6.9916 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	156.1	0.0	0.0	90.0	-59.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-2	NWFA	NWFA-2B:NWFA-2C:NWFA-2D	   16.2 	lt	  258.0 	   10.8 	    59 	3 	3 	0 	2.9661 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	179.2	0.0	0.0	90.0	-47.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-2	NWFA	NWFA-2B:NWFA-2C:NWFA-2D	    3.4 	mt	    4.8 	   28.3 	  1347 	3 	3 	0 	2.9985 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	179.2	0.0	0.0	90.0	-47.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-3	NWFA	NWFA-3B		lt	19.4	51.5		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	217.5	0.0	0.0	90.0	-41.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-3	NWFA	NWFA-3B		mt	31.5	32.4		1	1	0		0	518					pmagpy-4.3.7: demag_gui.v.3.0	217.5	0.0	0.0	90.0	-41.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	
NWFA-4	NWFA	NWFA-4B:NWFA-4C	   33.2 	lt	  320.1 	   44.8 	    59 	2 	2 	0 	1.9829 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	155.3	0.0	0.0	90.0	-60.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-4	NWFA	NWFA-4B:NWFA-4C	    6.6 	mt	    0.0 	   23.7 	  1421 	2 	2 	0 	1.9993 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	155.3	0.0	0.0	90.0	-60.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-5	NWFA	NWFA-5B:NWFA-5C	    8.5 	lt	  354.3 	   33.4 	   869 	2 	2 	0 	1.9988 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	228.3	0.0	0.0	90.0	-110.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFA-5	NWFA	NWFA-5B:NWFA-5C	    2.2 	mt	    9.9 	   16.2 	 12618 	2 	2 	0 	1.9999 	0	518					pmagpy-4.3.7: demag_gui.v.3.0	228.3	0.0	0.0	90.0	-110.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFA	0
NWFB-1	NWFB	NWFB-1B:NWFB-1C:NWFB-1D:NWFB-1E:NWFB-1F:NWFB-1G:NWFB-1H	  180.0 	lt	  182.7 	  -54.6 	     1 	7 	7 	0 	2.6589 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	0
NWFB-1	NWFB	NWFB-1B:NWFB-1C:NWFB-1D:NWFB-1E:NWFB-1F:NWFB-1G:NWFB-1H	    3.0 	mt	  121.2 	  -41.0 	   396 	7 	7 	0 	6.9848 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	16.6	0.0	0.0	90.0	-12.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	0
NWFB-2	NWFB	NWFB-2B:NWFB-2C:NWFB-2D:NWFB-2E:NWFB-2F:NWFB-2G	    1.8 	lt	   17.8 	  -24.6 	  1339 	6 	6 	0 	5.9963 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	0
NWFB-2	NWFB	NWFB-2B:NWFB-2C:NWFB-2D:NWFB-2E:NWFB-2F:NWFB-2G	    0.8 	mt	   17.8 	  -26.2 	  6859 	6 	6 	0 	5.9993 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	209.6	0.0	0.0	90.0	-52.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	0
NWFB-3	NWFB	NWFB-3B:NWFB-3C:NWFB-3D:NWFB-3E:NWFB-3F:NWFB-3G:NWFB-3H	    6.7 	lt	  248.5 	   39.5 	    82 	7 	7 	0 	6.9269 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	0
NWFB-3	NWFB	NWFB-3B:NWFB-3C:NWFB-3D:NWFB-3E:NWFB-3F:NWFB-3G:NWFB-3H	    2.2 	mt	  129.3 	  -73.4 	   747 	7 	7 	0 	6.9920 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	171.6	0.0	0.0	90.0	-29.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFB	0
NWFC-1	NWFC	NWFC-1B:NWFC-1C	    9.9 	lt	  229.0 	   -1.0 	   640 	2 	2 	0 	1.9984 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	231.6	0.0	0.0	88.6	-51.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-1	NWFC	NWFC-1B:NWFC-1C	   21.8 	mt	  281.7 	    6.3 	   133 	2 	2 	0 	1.9925 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	231.6	0.0	0.0	88.6	-51.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-2	NWFC	NWFC-2B:NWFC-2C:NWFC-2D:NWFC-2E:NWFC-2F	   38.3 	lt	   51.0 	  -52.7 	     5 	5 	5 	0 	4.1894 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-2	NWFC	NWFC-2B:NWFC-2C:NWFC-2D:NWFC-2E:NWFC-2F	    4.5 	mt	   14.8 	  -43.7 	   296 	5 	5 	0 	4.9865 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	238.7	0.0	0.0	88.6	-16.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-3	NWFC	NWFC-3B:NWFC-3C:NWFC-3D	   12.8 	lt	  257.4 	   29.5 	    94 	3 	3 	0 	2.9787 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	160.6	0.0	0.0	88.6	-26.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-3	NWFC	NWFC-3B:NWFC-3C:NWFC-3D	    6.4 	mt	  336.7 	   39.2 	   371 	3 	3 	0 	2.9946 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	160.6	0.0	0.0	88.6	-26.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-4	NWFC	NWFC-4B:NWFC-4C:NWFC-4D	    8.9 	lt	   10.2 	   -8.9 	   192 	3 	3 	0 	2.9896 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	143.7	0.0	0.0	88.6	-55.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-4	NWFC	NWFC-4B:NWFC-4C:NWFC-4D	    6.0 	mt	  353.3 	  -12.3 	   422 	3 	3 	0 	2.9953 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	143.7	0.0	0.0	88.6	-55.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-5	NWFC	NWFC-5B:NWFC-5C:NWFC-5D:NWFC-5E	   12.9 	lt	  122.2 	   -7.4 	    52 	4 	4 	0 	3.9422 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	24.5	0.0	0.0	88.6	-58.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-5	NWFC	NWFC-5B:NWFC-5C:NWFC-5D:NWFC-5E	    5.4 	mt	  130.2 	   22.4 	   285 	4 	4 	0 	3.9895 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	24.5	0.0	0.0	88.6	-58.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-6	NWFC	NWFC-6B:NWFC-6C:NWFC-6D:NWFC-6E	   19.6 	lt	   49.0 	  -43.9 	    23 	4 	4 	0 	3.8697 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	22.7	0.0	0.0	88.6	-63.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-6	NWFC	NWFC-6B:NWFC-6C:NWFC-6D:NWFC-6E	   15.4 	mt	   53.6 	  -29.1 	    37 	4 	4 	0 	3.9184 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	22.7	0.0	0.0	88.6	-63.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-7	NWFC	NWFC-7B:NWFC-7C:NWFC-7D:NWFC-7E:NWFC-7F	    9.0 	lt	  240.8 	   36.1 	    74 	5 	5 	0 	4.9458 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	4.7	0.0	0.0	88.6	-106.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-7	NWFC	NWFC-7B:NWFC-7C:NWFC-7D:NWFC-7E:NWFC-7F	    4.3 	mt	  353.1 	   26.1 	   313 	5 	5 	0 	4.9872 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	4.7	0.0	0.0	88.6	-106.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-8	NWFC	NWFC-8B:NWFC-8C:NWFC-8D:NWFC-8E:NWFC-8F:NWFC-8G	   16.3 	lt	  201.5 	   78.1 	    18 	6 	6 	0 	5.7190 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	48.7	0.0	0.0	88.6	-70.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
NWFC-8	NWFC	NWFC-8B:NWFC-8C:NWFC-8D:NWFC-8E:NWFC-8F:NWFC-8G	    4.0 	mt	  173.0 	   75.6 	   281 	6 	6 	0 	5.9822 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	48.7	0.0	0.0	88.6	-70.5	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	NWFC	0
PKQA-0	PKQA	PKQA-0A:PKQA-0B:PKQA-0C:PKQA-0E:PKQA-0F	   16.8 	lt	  181.5 	   51.2 	    22 	5 	5 	0 	4.8152 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	220.7	0.0	0.0	88.7	-76.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-0	PKQA	PKQA-0D:PKQA-0E:PKQA-0F	    5.3 	lt2	  179.6 	   49.6 	   551 	3 	3 	0 	2.9964 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	220.7	0.0	0.0	88.7	-76.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-0	PKQA	PKQA-0A:PKQA-0B:PKQA-0C:PKQA-0D:PKQA-0E:PKQA-0F	    5.7 	mt	  186.9 	   49.6 	   141 	6 	6 	0 	5.9646 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	220.7	0.0	0.0	88.7	-76.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-1	PKQA	PKQA-1B:PKQA-1C:PKQA-1D	   67.5 	lt	  238.5 	   82.3 	     4 	3 	3 	0 	2.5475 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	247.5	0.0	0.0	88.7	-72.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-1	PKQA	PKQA-1B:PKQA-1C:PKQA-1D	    2.8 	mt	  292.4 	   59.8 	  2002 	3 	3 	0 	2.9990 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	247.5	0.0	0.0	88.7	-72.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-2	PKQA	PKQA-2B:PKQA-2C:PKQA-2E:PKQA-2F:PKQA-2G:PKQA-2H:PKQA-2I	   18.6 	lt	  318.7 	   79.2 	    11 	7 	7 	0 	6.4779 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	214.9	0.0	0.0	88.7	-72.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-2	PKQA	PKQA-2B:PKQA-2C:PKQA-2D:PKQA-2E:PKQA-2F:PKQA-2G:PKQA-2H:PKQA-2I:PKQA-2J:PKQA-2K	    3.5 	mt	  297.0 	   67.9 	   188 	10 	10 	0 	9.9520 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	214.9	0.0	0.0	88.7	-72.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-3	PKQA	PKQA-3B:PKQA-3C:PKQA-3D:PKQA-3E:PKQA-3F	    3.2 	lt	  325.3 	   67.9 	   564 	5 	5 	0 	4.9929 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	200.7	0.0	0.0	88.7	-49.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-3	PKQA	PKQA-3B:PKQA-3C:PKQA-3D:PKQA-3E:PKQA-3F	    2.3 	mt	  310.2 	   72.1 	  1085 	5 	5 	0 	4.9963 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	200.7	0.0	0.0	88.7	-49.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-4	PKQA	PKQA-4B:PKQA-4C:PKQA-4D:PKQA-4E:PKQA-4F:PKQA-4G	    9.9 	lt	  328.0 	   79.9 	    46 	6 	6 	0 	5.8921 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	220.4	0.0	0.0	88.7	-42.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-4	PKQA	PKQA-4B:PKQA-4C:PKQA-4D:PKQA-4E:PKQA-4F:PKQA-4G	    2.7 	mt	  299.6 	   73.8 	   625 	6 	6 	0 	5.9920 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	220.4	0.0	0.0	88.7	-42.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-5	PKQA	PKQA-5B:PKQA-5C:PKQA-5D:PKQA-5E:PKQA-5F:PKQA-5G:PKQA-5H:PKQA-5I:PKQA-5J:PKQA-5K:PKQA-5L:PKQA-5M:PKQA-5N:PKQA-5O:PKQA-5P	    2.4 	lt	  121.5 	   29.0 	   257 	15 	15 	0 	14.9454 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	189.4	0.0	0.0	88.7	-49.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-5	PKQA	PKQA-5B:PKQA-5C:PKQA-5D:PKQA-5E:PKQA-5F:PKQA-5G:PKQA-5H:PKQA-5I:PKQA-5J:PKQA-5K:PKQA-5L:PKQA-5M:PKQA-5N:PKQA-5O:PKQA-5P	    2.8 	mt	  141.0 	    3.8 	   186 	15 	15 	0 	14.9249 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	189.4	0.0	0.0	88.7	-49.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-6	PKQA	PKQA-6B:PKQA-6C:PKQA-6D:PKQA-6E:PKQA-6F:PKQA-6G:PKQA-6H:PKQA-6I:PKQA-6J:PKQA-6K	    8.1 	lt	  122.3 	    5.5 	    37 	10 	10 	0 	9.7561 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	190.7	0.0	0.0	88.7	-54.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
PKQA-6	PKQA	PKQA-6B:PKQA-6C:PKQA-6D:PKQA-6E:PKQA-6F:PKQA-6G:PKQA-6H:PKQA-6I:PKQA-6J:PKQA-6K	    5.0 	mt	  141.3 	   -8.9 	    94 	10 	10 	0 	9.9040 	0	0					pmagpy-4.3.7: demag_gui.v.3.0	190.7	0.0	0.0	88.7	-54.0	This study	SO-CMD-NORTH:LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PKQA	0
