tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
NWFA-1A		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1A		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1B	NWFA-1B_LP-DIR-T	NWFA-1		mt	9.2	19.1	2	4	0	0.1	1.1	783	723	K		shoemake 2025-04-25 18:04:28	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1B	NWFA-1B_LP-DIR-T	NWFA-1		lt	329.5	-32.9	2	6	0	58.5	12.2	483	343	K		shoemake 2025-04-25 18:04:28	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1B		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1B		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1C		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1C		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1C	NWFA-1C_LP-DIR-T	NWFA-1		lt	16.3	-57.6	2	6	0	64.8	17.8	483	343	K		shoemake 2025-04-25 18:06:54	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1C	NWFA-1C_LP-DIR-T	NWFA-1		mt	15.4	14.7	2	6	0	0.0	4.4	753	633	K		shoemake 2025-04-25 18:06:54	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1D		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1D		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1D	NWFA-1D_LP-DIR-T	NWFA-1		lt	11.3	-10.1	2	13	0	22.9	11.9	693	343	K		shoemake 2025-05-01 16:33:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1D	NWFA-1D_LP-DIR-T	NWFA-1		mt	14.8	15.3	2	4	0	0.1	3.3	783	723	K		shoemake 2025-05-01 16:33:46	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1E		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1E		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1E	NWFA-1E_LP-DIR-T	NWFA-1		lt	11.7	-49.7	2	9	0	58.6	21.6	483	273	K		shoemake 2025-05-01 16:36:05	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1E	NWFA-1E_LP-DIR-T	NWFA-1		mt	13.2	17.0	2	11	0	0.0	3.0	783	543	K		shoemake 2025-05-01 16:36:05	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1F	NWFA-1F_LP-DIR-T	NWFA-1		mt	14.3	15.9	2	4	0	0.1	3.9	783	693	K		shoemake 2025-04-25 18:14:11	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1F		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1F		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1F	NWFA-1F_LP-DIR-T	NWFA-1		lt	341.3	-22.0	2	9	0	43.4	31.8	483	273	K		shoemake 2025-04-25 18:14:11	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1G	NWFA-1G_LP-DIR-T	NWFA-1		mt	9.7	19.8	2	4	0	0.1	1.1	783	723	K		shoemake 2025-04-25 18:16:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1G	NWFA-1G_LP-DIR-T	NWFA-1		lt	25.7	-42.8	2	8	0	56.2	26.8	483	273	K		shoemake 2025-04-25 18:16:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1G		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1G		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1H		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1H	NWFA-1H_LP-DIR-T	NWFA-1		lt	39.3	-40.9	2	8	0	58.7	26.8	483	273	K		shoemake 2025-05-01 16:38:30	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1H	NWFA-1H_LP-DIR-T	NWFA-1		mt	12.4	17.8	2	5	0	0.8	4.3	753	663	K		shoemake 2025-05-01 16:38:30	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-1H		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1I		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-1I		NWFA-1																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2A		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2A		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2B	NWFA-2B_LP-DIR-T	NWFA-2		mt	4.2	28.7	2	3	0	0.1	2.4	753	723	K		shoemake 2025-04-25 18:21:39	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2B		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2B		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2B	NWFA-2B_LP-DIR-T	NWFA-2		lt	255.8	22.8	2	9	0	79.1	23.4	483	273	K		shoemake 2025-04-25 18:21:39	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2C		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2C	NWFA-2C_LP-DIR-T	NWFA-2		lt	259.3	6.1	2	7	0	83.5	5.0	463	77	K		shoemake 2025-04-25 18:24:07	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2C		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2C	NWFA-2C_LP-DIR-T	NWFA-2		mt	2.8	28.5	2	4	0	0.3	0.5	783	723	K		shoemake 2025-04-25 18:24:07	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2D	NWFA-2D_LP-DIR-T	NWFA-2		mt	7.5	27.6	2	5	0	0.6	4.2	783	693	K		shoemake 2025-04-25 18:26:34	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2D	NWFA-2D_LP-DIR-T	NWFA-2		lt	258.7	3.7	2	7	0	85.3	10.2	463	77	K		shoemake 2025-04-25 18:26:34	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-2D		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2D		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2E		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-2E		NWFA-2																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3A		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3A		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3B	NWFA-3B_LP-DIR-T	NWFA-3		lt	19.4	51.5	2	4	0	24.1	5.1	403	77	K		shoemake 2025-04-25 18:28:58	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-3B	NWFA-3B_LP-DIR-T	NWFA-3		mt	31.5	32.4	2	4	0	0.4	3.4	783	693	K		shoemake 2025-04-25 18:28:58	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-3B		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3B		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3C		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-3C		NWFA-3																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4A		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4A		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4B		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4B	NWFA-4B_LP-DIR-T	NWFA-4		lt	310.4	42.3	2	5	0	27.5	9.9	463	343	K		shoemake 2025-05-01 16:40:56	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4B		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4B	NWFA-4B_LP-DIR-T	NWFA-4		mt	358.5	24.3	2	4	0	1.2	3.1	783	723	K		shoemake 2025-05-01 16:40:56	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4C	NWFA-4C_LP-DIR-T	NWFA-4		mt	1.5	23.0	2	5	0	0.7	1.3	783	693	K		shoemake 2025-05-01 16:43:16	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4C	NWFA-4C_LP-DIR-T	NWFA-4		lt	330.6	46.5	2	9	0	15.8	6.0	483	273	K		shoemake 2025-05-01 16:43:16	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-4C		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-4C		NWFA-4																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5A		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5A		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5B	NWFA-5B_LP-DIR-T	NWFA-5		mt	9.7	15.7	2	5	0	1.4	2.2	753	663	K		shoemake 2025-04-25 18:36:15	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5B	NWFA-5B_LP-DIR-T	NWFA-5		lt	356.6	33.1	2	5	0	17.7	3.5	403	273	K		shoemake 2025-04-25 18:36:15	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5B		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5B		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5C	NWFA-5C_LP-DIR-T	NWFA-5		lt	352.0	33.7	2	3	0	21.5	2.5	343	273	K		shoemake 2025-04-25 18:38:43	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5C	NWFA-5C_LP-DIR-T	NWFA-5		mt	10.2	16.6	2	6	0	1.2	1.4	783	663	K		shoemake 2025-04-25 18:38:43	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFA	NWFA
NWFA-5C		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFA-5C		NWFA-5																	This study	LP-NOMAG				NWFA	NWFA
NWFB-1A		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1A		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1B		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1B		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1B	NWFB-1B_LP-DIR-T	NWFB-1		mt	124.6	-43.1	2	4	0	1.0	0.9	753	663	K		shoemake 2025-04-25 18:41:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1B	NWFB-1B_LP-DIR-T	NWFB-1		lt	277.8	17.4	2	2	0	148.4	0.0	433	343	K		shoemake 2025-04-25 18:41:13	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1C	NWFB-1C_LP-DIR-T	NWFB-1		lt	286.0	12.1	2	5	0	146.2	23.0	403	273	K		shoemake 2025-04-25 18:43:44	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1C		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1C		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1C	NWFB-1C_LP-DIR-T	NWFB-1		mt	123.4	-42.7	2	5	0	0.8	2.1	753	663	K		shoemake 2025-04-25 18:43:44	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1D		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1D		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1D	NWFB-1D_LP-DIR-T	NWFB-1		mt	123.5	-42.0	2	4	0	2.1	2.7	753	663	K		shoemake 2025-04-25 20:11:32	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1D	NWFB-1D_LP-DIR-T	NWFB-1		lt	227.0	2.3	2	3	0	104.3	7.6	403	77	K		shoemake 2025-04-25 20:11:32	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1E		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1E		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1E	NWFB-1E_LP-DIR-T	NWFB-1		lt	94.6	-55.2	2	3	0	18.5	8.4	433	343	K		shoemake 2025-04-09 10:58:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1E	NWFB-1E_LP-DIR-T	NWFB-1		mt	121.2	-39.8	2	5	0	0.8	2.2	723	603	K		shoemake 2025-04-09 10:58:40	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1F		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1F		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1F	NWFB-1F_LP-DIR-T	NWFB-1		lt	120.2	-40.0	2	5	0	1.3	2.3	513	373	K		shoemake 2025-04-09 11:01:07	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1F	NWFB-1F_LP-DIR-T	NWFB-1		mt	123.5	-37.2	2	6	0	2.2	4.9	723	603	K		shoemake 2025-04-09 11:01:07	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1G		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1G		NWFB-1																	This study	LP-NOMAG				NWFB	NWFB
NWFB-1G	NWFB-1G_LP-DIR-T	NWFB-1		mt	111.0	-41.6	2	5	0	1.3	1.7	753	633	K		shoemake 2025-05-01 16:50:22	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1G	NWFB-1G_LP-DIR-T	NWFB-1		lt	116.3	-40.4	2	5	0	1.3	3.5	513	373	K		shoemake 2025-05-01 16:50:22	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1H	NWFB-1H_LP-DIR-T	NWFB-1		lt	127.8	-37.1	2	3	0	6.1	0.5	513	373	K		shoemake 2025-04-15 15:02:33	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
NWFB-1H	NWFB-1H_LP-DIR-T	NWFB-1		mt	121.0	-39.9	2	7	0	1.0	2.3	753	603	K		shoemake 2025-04-15 15:02:33	pmagpy-4.3.7: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			NWFB	NWFB
